,0,1,2,3,4,5
88,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
89,,,,,Student was unsafe on bus and physically aggressive toward bus driver. Student refused to walk into school on his own.,
90,,,,,He was brought to the support area. Behaviors continued throughout the morning. Student removed all clothing and,
91,,,,,proceeded to punch staff in the face with his underwear in hand. This was when he was placed in his first small child,
92,,,,,hold. Was then put in calm room for safety. Student was LSI and had lunch in support area. Change of environment was,
93,,,,,attempted by moving student to music therapy room with two staff members. Behaviors escalated and student ripped,
94,,,,,apart his science book and threw garbage at staff. Student then went on to hit staff and making threats and was placed,
95,,,,,"in standing hold till student was safe and calm. He proceeded to clean up the mess he made, once done behaviors re-",
96,,,,,escalated and student again was physically abusive with staff. He was placed in another small child hold where male,
97,,,,,staff member took over the hold. Student became calm and was released from hold. Student re-escalated and removed,
98,,,,,"all articles of clothing. Student climbed on table and threatened to pee. When staff ignored he proceeded to hit, kick",
99,,,,,and threaten staff. Student was then placed in small child hold while unclothed. Once calm and safe student was,
100,,,,Small child,released from hold when he asked to go to the bathroom. Student redressed and male staff escorted him to the,
101,,,,restraint 1 person,restroom. When returned to music therapy room student remained quite and calm until he was able to be placed on,
102,2015-2016,Y,5/11/2016,"hold
Other",the bus.,
103,,,,,Student was being disruptive in Art class and misusing classroom property. When asked to please walk with staff out of,
104,,,,Small child,"the room, student used inappropriate language. Student ran out of the classroom without a staff member. Student was",
105,,,,restraint 1 person,climbing and jumping over desks and chairs once in the support area and attempted to hit staff. Student was placed in,
106,2015-2016,Y,6/10/2016,"hold
Other",standing small child restraint for two minutes. LSI was completed and student went home on bus from support area.,
107,,,,,xxx was being disruptive and screaming during literacy centers. He was taken into the support area and he continued to,
108,,,,,"escalade in there. He started cursing and threatening to kill staff. He was head butting, kicking, punching, kneeing,",
109,,,,,pinching and attempting to bite staff. xxx and myself had xxx in a 2 person small child for 4 minutes and then xxx took,
110,,,,,over and held him for about 10 minutes. xxx was released and then he became aggressive towards staff again. He was,
111,,,,Small child,put in the calm room where he remained for 30 minutes. When we attempted to open the calm room door  and bring,
112,,,,restraint 2 person,him back into the support area he became aggressive again. He was then in the CR for another 20 minutes. He then,
113,2015-2016,Y,5/11/2016,"hold
Other",came out and did some ELA work and then he returned to the classroom.,
114,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
115,,,,,xxx refused to come to class and sat in the vestibule/ hall way with staff for about 25 minutes. He refused to talk or,
116,,,,,answer questions. xxx was asked several times to move to the front office. He refused and became argumentative and,
117,,,,,was using a baby voice. It was decided he needed to be moved to the front office and he was helped through the,
118,,,,,vestibule. He was yelling and trying to bite staff. Once in the office he became aggressive and continued yelling. He was,
119,,,,,"continually encouraged to calm, talk about his feelings and we offered several times that he could call dad to talk. xxx",
120,,,,,tried to open the door and leave the office and was blocked. This aggravated xxx and he hit xxx and xxx multiple times,
121,,,,,with an open hand to the forearm area. xxx continued to yell and be aggressive. xxx put xxx in a small child hold against,
122,,,,,the wall with xxx scooping his legs. xxx was encouraged to calm. The restraint lasted approximately 20 minutes. Once,
123,,,,,xxx was calm he was released. He sat calmly on the floor for a while and was offered a chair and water. He refused it,
124,,,,,and crawled under the desk and was kicking and pulling on the drawers of the desk. We gave xxx his own sheet with,
125,,,,,calming methods/strategies. He refused the sheet. He was offered to call his father and agreed to do his work and then,
126,,,,,return to the classroom. Once xxx looked through his work he initially refused to do one of the sheets. He was told xxx,
127,,,,,expects all work to be completed and that xxx was there to assist. He refused and ripped it up. xxx did finish all other,
128,,,,,"work with no problem. xxx told xxx he needed to finish the other sheet. This caused xxx to become loud, swearing (F---",
129,,,,,"you, F---ing make me do it), threw a key he had found across the room, kicking the desk, opening file drawers, threw a",
130,,,,Small child,chair. xxx said he would not be getting on the bus and he will make is Grandmother come get him. xxx reinforced he,
131,,,,restraint 2 person,needed to calm down and that she was there to help with his work. xxx did pick up his work and complete it on his,
132,2015-2016,Y,4/25/2016,"hold
Other",own. xxx has continued to cycle through periods of calm and escalation the entire school day.,
133,,,,2 person prone,,
134,2015-2016,Y,1/11/2016,"hold
Classroom",Defiance and physical harm to staff,
135,,,,,Student thought he had received a consequence for behaviors in music class but did not. Student refused to follow,
136,,,,,directions in class and began to be physical with staff trying to bite and punch. Student was asked to the support area,
137,,,,,so he would not disrupt the class and he agreed. Upon entering support area student escalated and was put into a,
138,,,,,small child restraint one person hold for his safety and staff. He was able to regain control enough to be released from,
139,,,,Small child,"the hold but after he was, he continued unsafe behaviors but was not aggressive. Student said he wanted to go into the",
140,,,,restraint 1 person,"calm room which was free and he did. However, student eventually disrobed and urinated on floor. Phone call home",
141,2015-2016,Y,1/7/2016,"hold
Classroom",was made and student finally was finally able then to dress himself again and make the safe choice and rejoin the class.,
142,,,,Small child,Student was in the support area for a prior incident and found a pair of scissors and began to make threatening,
143,,,,restraint 1 person,"gestures to staff as well as trying to cut his own clothes. For his safety as well as staffs, student was put into a small",
144,2015-2016,Y,1/29/2016,"hold
Other",child 1 person restraint. Student was able to quickly regain self control and continue his work.,
145,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
146,,,,Small child,Student started becoming physical with staff and tried sitting on desks in an unsafe manor. Student was already in,
147,,,,restraint 2 person,support area and so to keep student and staff safe was put into a small child 2 person hold. He was eventually able to,
148,2015-2016,Y,2/2/2016,"hold
Other",regain control and was released from the hold. He was able to do some work as well.,
149,,,,,xxx was in the Support Room.  He was having a hard time following directions.  After several re-directions and prompts,
150,,,,Small child,"to stop, he began to become aggressive toward staff. He was given prompts to stop and some space.  he continued to",
151,,,,restraint 2 person,move toward staff and try to kick or hit staff.  He was than put into a small child restraint with a another staff member,
152,2015-2016,Y,2/2/2016,"hold
Calm Room",holding his legs.  The restraint lasted 11 minutes.,
153,,,,,"Student was in support area and became defiant. Began to drink water and refused to swallow, holding it in his mouth",
154,,,,Small child,and not doing any work. Student eventually spit water out of his mouth at staff as well as spitting and tried to scratch,
155,,,,restraint 1 person,staff as well. Child was put into a small child 1 person hold for student and staff safety. He was able to eventually calm,
156,2015-2016,Y,2/5/2016,"hold
Other",down and regain control to be released from the hold and return to work.,
157,,,,,Student was in support area for refusing to do work and while there refused to sit in chair properly. Student was kicking,
158,,,,Small child,staff and then began to hang off of desks upside down and almost fell onto his own head if staff was not there to stop,
159,,,,restraint 1 person,him. Calm room was currently occupied by another student so he was put into a small child 1 person hold for his safety.,
160,2015-2016,Y,2/11/2016,"hold
Other",He was able to come out eventually get work done to go back into class.,
161,,,,Small child,Student was very upset about legos not being available as a choice and became physical with staff. Tried to run away,
162,,,,restraint 1 person,from adults as well and hide. Student was put into a small child 1 person hold as calm room was unavailable and was,
163,2015-2016,Y,2/25/2016,"hold
Other",soon able to regain control and play with his preferred toy while doing work.,
164,,,,Small child,xxx was not following any directives and expectations. He began hitting adults with his head in an aggressive manner.,
165,,,,restraint 1 person,At this point xxx was placed in a TCI single person small child hold. xxx was compliant with the letting go process and,
166,2015-2016,Y,3/2/2016,"hold
Calm Room",processed the LSI with staff. He was able to keep his behaviors and actions safe.,
167,,,,,Student did not want to do work for morning meeting. He ran out of the classroom and went into the calm room to,
168,,,,,hide. he eventually exited the calm room and stayed in the support area to regain further control of himself. He,
169,,,,Small child,"eventually became aggressive, trying to hit and kick staff because he had work to make up. Calm room was occupied by",
170,,,,restraint 1 person,another student and so was put into a small child hold to regain control and protect staff and himself from his actions.,
171,2015-2016,Y,4/8/2016,"hold
Other",he was soon able to be released and was able to do some work to get back into class.,
172,,,,,Student was upset that he did not earn outside recess unless he finished his math work that he had previously refused,
173,,,,Small child,to do. He refused it again and began to try to run from staff and hide in certain places in the room. When staff tried to,
174,,,,restraint 1 person,help him he began trying to bite them. Student was put into a small child 1 person restraint and was soon able to regain,
175,2015-2016,Y,4/22/2016,"hold
Classroom",control and be released to get on his bus to go home.,
176,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
177,,,,,Student was upset because a toy he brought from home was taken away because it became a distraction. He became,
178,,,,Small child,angry and tried hiding from staff as well as trying to kick and stomp on their feet. He was redirected to the support area,
179,,,,restraint 2 person,where the behaviors continued. The calm room was being used by another student so he was put into a small child 2,
180,2015-2016,Y,5/9/2016,"hold
Other",person hold for student and staff safety. He was able to regain control and was released after 10 min.,
181,,,,,Student was upset from things through out the day and did not want to do math. He began climbing on the windowsill,
182,,,,,and trying to disrupt the class as well as the social worker who was with another student. He was redirected to the,
183,,,,Small child,support area where he went but continued being unsafe and being in peoples personal space and trying to leave the,
184,,,,restraint 1 person,area. The calm room had another student in in so he had to be put into a small child hold for student and staff safety.,
185,2015-2016,Y,5/10/2016,"hold
Other",He was able to be released shortly after and work on getting back to the room.,
186,,,,,Student locked himself in the classroom bathroom with another student to get out of taking a test. Once student was,
187,,,,,"out of the bathroom, he was redirected to the support area because he was not ready to get back to work/be in class.",
188,,,,Small child,"When in the support area, student could not maintain his personal boundaries and tried kicking staff. Student was put",
189,,,,restraint 1 person,into a small child one person hold for student and staff safety. Soon after he was released and was able to follow,
190,2015-2016,Y,5/12/2016,"hold
Classroom",simple directions.,
191,,,,Small child,Student was avoiding work and ran around the room disrupting it. He was redirected to the support area and upon,
192,,,,restraint 2 person,entering tried kicking staff and other people walking by. the calm room was currently occupied so student was placed,
193,2015-2016,Y,5/18/2016,"hold
Other",into a small child 2 person hold for student and staff safety. He was soon able to be released and regain control.,
194,,,,,Student was being unsafe in the calm room and kept opening the door and trying to run away. He then began trying to,
195,,,,Small child,threaten to urinate in the calm room so he was placed into a small child restraint 1 person hold so he could think about,
196,,,,restraint 1 person,"his actions and regain control, which he did. He was able to use the bathroom appropriately afterwards and was able to",
197,2015-2016,Y,5/18/2016,"hold
Calm Room",calm down and color a picture before returning to class.,
198,,,,Small child,,
199,,,,restraint 1 person,Student was upset he could not go outside. He drew a picture of him stabbing his aide and when questioned on it he,
200,2015-2016,Y,5/18/2016,"hold
Classroom",tried biting staff. He was put into a small child 1 person hold until he was calm enough to be released and go home.,
201,,,,,Student was refusing work in class and causing a disruption. He was redirected to the support area where he escalated,
202,,,,Small child,slightly and was incapable of maging his personal space as wel as being safe. Calm room was occupied and student was,
203,,,,restraint 1 person,put into a small child 1 person hold for his safety as well as to help him regain control of his own actions. Student was,
204,2015-2016,Y,5/25/2016,"hold
Other",then released and was able to do some work before getting back to class.,
205,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
206,,,,,Student refused to do work and tried hiding in the bathroom. He was asked multiple times to return to work but did,
207,,,,Small child,not. He tried running around getting in staffs personal space. He was placed in a small child hold because it would be,
208,,,,restraint 1 person,too difficult to ask him to take a break in the support area. He was able to calm down eventually and get back to work,
209,2015-2016,Y,5/26/2016,"hold
Classroom",after a short break.,
210,,,,,Student was in the support area for refusing to come back to class after a fire drill. While in the support area he began,
211,,,,,to escalate and could not manage his personal space. He was redirected to the calm room to regain control. While in,
212,,,,,the calm room student threatened to urinate on the floor and took his shoe off and began hitting the door with it.,
213,,,,Small child,Student was asked to stop for his safety because he almost hit himself with it numerous times. Student did not stop,
214,,,,restraint 1 person,and did not calm down so he was placed into a small child 1 person hold for his safety. He was eventually able to regain,
215,2015-2016,Y,6/7/2016,"hold
Calm Room",control of himself and was able to get some work done before going back to class.,
216,,,,Small child,Student was upset about not getting a gummy worm and began to throw classroom objects around. He hit a staff,
217,,,,restraint 1 person,member in the head with a hard toy and was placed into a small child hold for student and staff safety. He was,
218,2015-2016,Y,6/16/2016,"hold
Classroom",eventually able to regain control and was released to go take a break in the support area.,
219,,,,,xxx became upset after receiving a 2 on her marking sheet from xxx - she started yelling and crying and then ran out,
220,,,,,"into the hallway, where she continued to yell and cry. She ran further down the hall and the hallway had to be closed",
221,,,,Small child,and other students diverted. The xxx of the school also tried to get xxx to sit in a chair to be safe. She continued to yell,
222,,,,restraint 1 person,and scream and started to hit and kick me. She was also trying to swing at another staff member. xxx also made many,
223,2015-2016,Y,3/4/2016,"hold
Hallway",attempts to pull the fire alarm. xxx mother was called and removed her from school.,
224,,,,Small child,,
225,,,,restraint 1 person,xxx was upset with consequence's he received from class so he slammed his iPad on the ground. Upon leaving the class,
226,2015-2016,Y,4/8/2016,"hold
Classroom",xxx tried to hit the teacher. xxx was then placed in small child restraint lasting 30 minutes.,
227,,,,,xxx asked staff to take a break from class. When he left the room he ran down the hallway away from staff. Staff then,
228,,,,,redirected him to come back and walk the right way down the hallway. xxx then turned around and ran away from staff,
229,,,,,to the other side of the school. Staff then directed xxx to go to the support room. While he was in the support room he,
230,,,,,started to choke himself. Staff redirected him several times to stop and he continued to hurt himself. Staff then put him,
231,,,,,in a small child restraint. Staff then stopped the restraint because he seemed to start to settle down. After staff,
232,,,,,stopped xxx then started to choke himself again and staff had to put him into a two person restraint. Staff then let the,
233,,,,Small child,legs go because it was becoming unsafe to hold his legs. He was then in a one person restraint where he was able to,
234,,,,restraint 1 person,calm down after about 10 minutes while being in the hold. Staff was able to talk to xxx about how unsafe it was to run,
235,2015-2016,Y,2/11/2016,"hold
Calm Room",away from staff and that it is not OK to hurt himself and it is our job to keep him safe.,
236,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
237,,,,,xxx asked staff to take a break from class. When he left the room he ran down the hallway away from staff. Staff then,
238,,,,,redirected him to come back and walk the right way down the hallway. xxx then turned around and ran away from staff,
239,,,,,to the other side of the school. Staff then directed xxx to go to the support room. While he was in the support room he,
240,,,,,started to choke himself. Staff redirected him several times to stop and he continued to hurt himself. Staff then put him,
241,,,,,in a small child restraint. Staff then stopped the restraint because he seemed to start to settle down. After staff,
242,,,,,stopped xxx then started to choke himself again and staff had to put him into a two person restraint. Staff then let the,
243,,,,Small child,legs go because it was becoming unsafe to hold his legs. He was then in a one person restraint where he was able to,
244,,,,restraint 2 person,calm down after about 10 minutes while being in the hold. Staff was able to talk to xxx about how unsafe it was to run,
245,2015-2016,Y,2/11/2016,"hold
Calm Room",away from staff and that it is not OK to hurt himself and it is our job to keep him safe,
246,,,,Small child,,
247,,,,restraint 1 person,xxx was in the support room choking himself. Staff asked him to stop several times and he continued to choke himself.,
248,2015-2016,Y,4/6/2016,"hold
Calm Room",Staff then put him in a small child restraint.,
249,,,,,xxx had morning work to complete in support area. He initially refused to go to support area and used profanity toward,
250,,,,,"staff, but after about 5 minutes he entered support area. He had his headphones on and refused to listen to staff. He",
251,,,,,"sat on the window sill and opened window. Staff walked over and closed the window, and stood in front of it. xxx then",
252,,,,,attempted to use his body to push staff out of the way. Another staff attempted to redirect him. xxx then threw a,
253,,,,,nearby chair and tried to push and into other staff. He continued throwing his body into staff and once threw a punch,
254,,,,,"(did not connect). At that point, staff placed xxx into a restraint (less than 5 minutes). When he appeared to become de",
255,,,,3 person prone,"escalated, staff directed him into a calm room. He was seen by school nurse and then spoke with staff and program",
256,2015-2016,Y,4/20/2016,"hold
Other",supervisor about the incident.,
257,,,,,xxx was upset due to consequences from his actions . He ran out of the room and started throwing his jacket and book,
258,,,,Small child,bag. He hit xxx in the face with the backpack  and throw his jacket at her. While xxx was in the support room he opened,
259,,,,restraint 2 person,the door to come out. I decided to go in the support to stay with xxx where he throw a shoe at me. I decided to place,
260,2015-2016,Y,6/10/2016,"hold
Calm Room",xxx into a small child hold then moved to a two person small child restraint.,
261,,,,Small child,,
262,,,,restraint 2 person,xxx was upset with schoolwork . He started to get verbally and physically aggressive toward staff. when xxx was asked,
263,2015-2016,Y,6/20/2016,"hold
Classroom",to leave the room he punched me in the stomach. Due to xxx behavior I placed him into a small child restraint.,
264,,,,Small child,xxx got upset and threw furniture and pushed a table.  He was taken out of the room and he continued with aggression,
265,,,,restraint 1 person,"and screaming.  In hold for 10 minutes, once he was calm xxx did work at the desk before returning back to class at",
266,2015-2016,Y,5/11/2016,"hold
Classroom",10:15am.,
267,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
268,,,,Small child,,
269,,,,restraint 1 person,xxx was disruptive in the classroom.  He was asked to leave and refused to leave.  Staff redirected him out of the room,
270,2015-2016,Y,5/11/2016,"hold
Classroom",and was in a small child restraint for 10 minutes. Then he did some work outside of the classroom.,
271,,,,Small child,,
272,,,,restraint 1 person,xxx became agitated and screaming and throwing chairs. He was in a small child restraint for 7 minutes.  He calmed at,
273,2015-2016,Y,5/11/2016,"hold
Classroom",11:10am to eat lunch.,
274,,,,Small child,,
275,,,,restraint 1 person,"xxx became agitated when explained to him he would continue to do work.  He started to throw chairs, items on desk",
276,2015-2016,Y,5/11/2016,"hold
Classroom",and hitting staff. Small child restraint for 5 minutes. Once he was calm he continued to do work.,
277,,,,Small child,,
278,,,,restraint 1 person,xxx became upset and started screaming and throwing his work and chairs.  He was in small child restraint for 5,
279,2015-2016,Y,5/11/2016,"hold
Classroom",minutes.  Once he was calm he finished his work.,
280,,,,Small child,,
281,,,,restraint 1 person,xxx did not want to do the read aloud.  He was disruptive and then threw objects.  He was asked to take a break next,
282,2015-2016,Y,5/11/2016,"hold
Classroom",door and he was in a hold for 10 minutes.  Once he was calm he was redirected to do work.,
283,,,,Small child,,
284,,,,restraint 1 person,xxx got upset while working and he pushed furniture and threw items in the classroom.  He was in a hold for 5 minutes.,
285,2015-2016,Y,5/11/2016,"hold
Classroom",Once he was calm he did more work and then returned back to class shortly after.,
286,,,,,xxx got upset because he wasn't able to get something that he wanted.  He hit the computer and keyboard and then,
287,,,,Small child,knocked over furniture in the classroom.  He was removed from the room and was taken next door. Once next door he,
288,,,,restraint 1 person,"was asked to sit quietly at the desk to get ready to do work.  Then he threw a chair, staff assisted xxx.  He was in a small",
289,2015-2016,Y,5/13/2016,"hold
Classroom",child hold from 9:10am-9:15am.,
290,,,,Small child,,
291,,,,restraint 1 person,,
292,2015-2016,Y,5/13/2016,"hold
Classroom",xxx refused to do his work and was aggressive and threw furniture.  He was in a small child hold from 9:18am-9:33am.,
293,,,,Small child,,
294,,,,restraint 1 person,xxx became upset while doing work next door.  He was aggressive towards staff and was yelling.  He was in a small child,
295,2015-2016,Y,5/13/2016,"hold
Classroom",hold for 7 minutes.  Once he was calm he talked to his mom on the phone at 9:38am.,
296,,,,Small child,,
297,,,,restraint 1 person,xxx refused to do his work.  He was physically aggressive towards staff.  He was placed in a small child hold from 9:45-,
298,2015-2016,Y,5/13/2016,"hold
Classroom",9:55am.,
299,SchoolYear,,BIP Y/N IncidentDate,"Disposition
StudentDiscipline_Location",StudentDiscipline_Description,
300,,,,Small child,xxx refused to do his work.  He threw a chair and tried to leave the room.  He was placed in a hold from 10:42-10:45am.,
301,,,,restraint 1 person,"xxx was told his mother is coming to get him.  He stayed in the classroom next door, he sat at the desk quietly, he ate",
302,2015-2016,Y,5/13/2016,"hold
Classroom",his lunch and mom picked arrived at 12:30pm.,
303,,,,Small child,xxx got upset while working at literacy center.  He threw materials in the classroom and pushed furniture.  He was,
304,,,,restraint 1 person,asked to leave and was brought next door.  xxx was aggressive towards staff.  He was put in a small child hold from,
305,2015-2016,Y,5/16/2016,"hold
Classroom",10:05-10:12am.,
306,,,,Small child,,
307,,,,restraint 1 person,xxx was working at the table and he got upset.  He was aggressive towards staff and was in a small child hold for 6,
308,2015-2016,Y,5/16/2016,"hold
Classroom",minutes.,
309,,,,,xxx attempted to do work at the table.  He was agitated and was aggressive towards staff and hit staff.  xxx was in a,
310,,,,Small child,hold from 10:24-10:31am,
311,,,,restraint 1 person,He was released from a hold and then was back in a hold from 10:31-10:35am,
