date,time,restraint_type
10/24/16,1:42pm,"push/pull,standing hold"
10/25/16,10:35am,children's control
10/25/16,10:55am,seated wrap
10/25/16,11:30am,children's control
10/25/16,2:05pm,seated wrap
10/25/16,2:10pm,"seated wrap, high level hold seated"
10/26/16,12:45pm,"position, med. push/pull,med."
10/26/16,12:50pm,holding stand
10/26/16,12:15pm,high level seated position
10/26/16,1:20pm,2 person hold
10/26/16,12:45pm,2 person control seated
10/26/16,11:00am,seated hold
10/27/16,1:00pm,small child
10/27/16,2:00pm,children's control
10/27/16,10:45am,therapeutic hold
10/27/16,2:05pm,wrap
10/28/16,9:35am,therapeutic hold
10/28/16,12:00pm,child wrap
10/31/16,1:45pm,children's control
10/31/16,10:30am,child wrap
11/1/16,9:00am,NCI inteventions
11/1/16,10:45am,child wrap
11/1/16,9:45am,children's control
11/1/16,2:15pm,"children's control, 2 person escort/high level"
11/1/16,11:35am,seated
11/1/16,11:05am,basket hold
11/2/16,8:30am,basket hold
11/2/16,9:45am,children's control
11/2/16,12:00pm,seated wrap
11/3/16,9:00am,seated wrap
11/4/16,10:00am,child wrap
11/4/16,9:10am,basket hold
11/4/16,11:15am,children's control
11/4/16,9:30am,small child hold/wrap
11/4/16,12:40pm,"children's control, 2 person high level arm"
11/7/16,9:15am,control
11/7/16,11:30am,sit and hold
11/7/16,10:30am,child wrap
11/7/16,8:35am,basket hold
11/7/16,1:50pm,basket hold
11/7/16,8:55am,legs/shoulders hold
11/7/16,11:30am,therapeutic hold
11/9/16,12:10pm,small child
11/9/16,9:45am,child wrap
11/9/16,10:00am,child wrap
11/9/16,11:05am,child wrap
11/9/16,2:15pm,transport
11/9/16,11:45am,2 person control
11/10/16,1:20pm,small child
11/10/16,12:00pm,seated wrap
11/10/16,9:45am,child wrap
11/10/16,11:30am,child wrap
11/14/16,10:20am,small child
11/14/16,11:20am,seated wrap
11/15/16,1:00pm,small child
11/15/16,10:45am,seated wrap
11/15/16,9:35am,"child hold,therapeutic hold"
11/15/16,12:05am,"child hold,therapeutic hold"
11/16/16,11:30am,children's control
11/16/16,10:40am,"standing wrap,takedown"
11/16/16,2:15pm,2 person control
11/16/16,10:15am,2 person control
11/17/16,10:00am,2 person control
11/21/16,1:15pm,seated wrap
11/21/16,9:10am,2 person control
11/21/16,10:30am,"child hold,therapeutic"
11/21/16,12:10pm,"child hold,therapeutic"
11/22/16,2:00pm,seated wrap
11/22/16,1:29pm,seated wrap
11/22/16,12:00pm,seated wrap
11/22/16,2:10pm,seated wrap
11/23/16,12:40pm,2 person child
11/28/16,11:20am,child wrap
11/28/16,12:30pm,basket hold
11/28/16,12:30pm,child wrap
11/28/16,10:40am,seated arm hold
11/29/16,10:15am,2 person children's
11/30/16,1:00pm,small child
12/2/16,12:00pm,2 person small child
12/2/16,1:30pm,seated wrap
12/5/16,9:45am,seated wrap
12/5/16,11:30am,2 person to supine
12/6/16,11:47am,wrap
12/6/16,12:30pm,seated wrap
12/8/16,1:50pm,2 person control
12/9/16,11:55am,therapeutic hold
12/9/16,11:45am,2 person control
12/9/16,2:00pm,2 person control
12/9/16,1:40pm,2 person control
12/12/16,11:50am,seated wrap
12/12/16,2:20pm,2 person control
12/13/16,2:40pm,child control
12/13/16,11:05am,3 man hold
12/14/16,10:20am,child hold
12/14/16,1:50pm,basket hold
12/14/16,11:00am,seated wrap
12/14/16,12:45pm,seated wrap
12/14/16,12:34pm,seated wrap
12/14/16,12:00pm,2 person control
12/16/16,2:00pm,seated wrap
12/19/16,10:00am,sm child hold
12/19/16,9:45am,seated wrap
12/20/16,2:10pm,"2 person, child hold, therapeutic"
12/20/16,11:00am,"hold, 3 man escort,2 man"
12/20/16,8:10am,takedown
12/21/16,9:15am,med level holding
12/21/16,11:41am,standing position
12/21/16,1:15pm,sm child hold
12/22/16,10:45am,seated wrap
12/22/16,10:50am,seated wrap
12/22/16,1:30pm,seated wrap
1/3/17,2:15pm,child hold
1/4/17,11:30am,wrap to prone
1/4/17,1:30pm,child pose
1/5/17,1:07pm,children's control position
1/5/17,1:15pm,small child
1/6/17,2:00pm,2 person control
1/6/17,10:20am,"small child hold, child hold, attempted, therapeutic"
1/9/17,10:15am,"hold, transport position/arm"
1/10/17,11:10am,control
1/10/17,10:00am,basket hold
1/10/17,11:50am,2 ros control
1/10/17,1:05pm,"seated wrap, higher holding children's"
1/11/17,12:20pm,control
1/12/17,12:05pm,"seated wrap, child hold, attempted,therapeutic"
1/13/17,12:00pm,hold
1/13/17,12:45pm,children's control
1/13/17,11:20am,2 person control
1/19/17,9:35am,2 person control-seated -
1/19/17,1:55pm,arm control
1/19/17,11:30am,small child pose
1/19/17,2:30pm,basket hold
1/20/17,11:50am,seated wrap
1/23/17,9:30am,child hold
1/23/17,11:00am,child hold
1/23/17,12:40pm,seated wrap
1/25/17,2:30pm,seated wrap
1/25/17,9:45am,child hold
1/25/17,1:02pm,standing - higher level
1/25/17,2:30pm,seated wrap
1/27/17,1:00pm,seated wrap
1/27/17,10:20am,seated
1/30/17,9:05am,seated - higher level
1/30/17,12:50pm,children's control
2/1/17,12:40pm,seated wrap
2/1/17,9:30am,seated wrap
2/1/17,9:00am,2 person high level seated
2/2/17,11:45am,2 person small child
2/2/17,9:40am,seated wrap
2/2/17,1:10pm,"seated wrap, 2 person high level seated"
2/2/17,9:00am,& escort
2/3/17,10:05am,"children""s control"
2/3/17,10:30am,2 person control
2/3/17,11:30am,therapeutic hold
2/6/17,1:00pm,seated wrap
2/6/17,1:30pm,seated wra
2/7/17,10:05am,"seated wrap, 2 person high level seated"
2/7/17,11:20am,& escort
2/7/17,2:00pm,seated wrap
2/7/17,11:40am,sm. Child pose
2/8/17,1:40pm,children's control
2/8/17,2:00pm,child pose seated wrap
2/8/17,2:00pm,children's control
2/10/17,2:00pm,seated wrap
2/13/17,12:40pm,small child pose
2/13/17,2:15pm,"seated wrap, 2 person high level escort and more restrictive"
2/13/17,2:00pm,therapeutic
2/14/17,1:15pm,2 person standing
2/14/17,11:00am,seated wrap
2/14/17,1:30pm,seated wrap
2/14/17,1:10pm,basket hold
2/14/17,9:00am,therapeutic hold
2/15/17,9:10am,seated wrap
2/15/17,11:45am,seated wrap
2/15/17,2:00pm,seated wrap
2/15/17,9:45am,seated wrap
2/15/17,12:15pm,small child pose
