,id,doc_type,restrict_type,date,grade,duration,description,injury
37,NOCO_RISI_01_Part1033,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,TWO person escort,Date: 9.25.18,/,Life Space Interview conducted by (staff name):,threw a cup of warm tea on a stark member and thenproceeded to Kick chairs and throw furniturewas spittingand snotting at staffwalked towards the calming room,Parent/Guardian contacted: (circle)
38,NOCO_RISI_01_Part1034,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,2 person escort,9-25-18,I,Juration: 3 min,"was crawling on floor hissing at staFF and students, runningdown the hallway, Kicking at the walls, trying to run out of building intog randmother tried to hold hand but0 ffices and cafeteria, hitting slapping repused, at staff and grandparents.begantorun down wordd and",Time each party checked by school nurse
39,NOCO_RISI_01_Part1035,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent: 2/12/18,(over),,K,Duration: 3 min,"stoppedworking and began throwing materials around the work room.He began shoving a desk and throwing items at adults, hittingin theface several times. Hewas told that if he continued throwing items at peopleEmergency Intervention(s) used:",Time each party checked by school nurse
40,NOCO_RISI_01_Part1036,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent: 2/2/18,Handle with care small child restraint,Date: 2/2/18,K,Duration: 9 minutes then Thanks minutes,See attachedEmergency Intervention(s) used:Handle with care small child restraintDuration: 9 minutes then Thanks minutese Space Interview conducted by (staff name):,2:26 message
41,NOCO_RISI_01_Part1037,,,,,,,
42,NOCO_RISI_01_Part1038,Incident Involving an Emergency Intervention,Modification of a handle with care escort.,,K,30 seconds,"was Kicking and hitting items in the main Lobby, whenhe tried to run towards a hallway,blocked him. He had run downthis hallway before and been out of control and nearly hurt himself and othersand",Time each party checked by school nurse
43,NOCO_RISI_01_Part1039,Incident Involving an Emergency Intervention,HWC small child seated position,,K,City,see attachedEmergency Intervention(s) used:HWC small child seated positionDuration: lemin.City,Parent/Guardian contacted: (circle) Yes X No When: 340
44,NOCO_RISI_01_Part104,ASC Time Out Room Log-Roont -,ASC Time Out Room Log-Roont -,Date: 4/2/19,Check,36 min.,3was upset that. he had to stay in forrecess. He was breaking the teachers materials.and tried to get the other students escalated.Rohavior entering time out room:,
45,NOCO_RISI_01_Part1040,,,,,,,
46,NOCO_RISI_01_Part1041,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Handle with Care small child restraint,Date: 11/8/17,K,Duration: 11:00-11:25,Please see attached.Emergency Intervention(s) used:Handle with Care small child restraintDuration: 11:00-11:2515 minutes,Time each party checked by school nurse
47,NOCO_RISI_01_Part1042,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,"student seeted on lap, hands herd to a moment",Date: 9/22/17,Date: 9/22/17,Life Space Interview conducted by (staff name):,After becoming frustratedbegan to engage in dangerous behaviorsincluding thawing mcteralsat(outside of the classroom),Time each party checked by school nurse
48,NOCO_RISI_01_Part1043,,,,,,,
49,NOCO_RISI_01_Part1044,Copy of Incident Involving an Emergency Intervention Form sent to parent: D'ate sent:,HWC bar hold,1/10/20,4,4 minutes,"While in the time out room,himself in the head very hard. staff directed him multiple times towas repratedly punchingstop. or we would need to help him be sate, but be continued topunch himself.",:
50,NOCO_RISI_01_Part1045,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,TCI small Child - two person,1/9/2020,4th,6 minutes,Was in the time out room after Vunning into the divides WallsinHe classroom. Once in there he began to punch himself multiple timeshave to hold him in order to keep himself Safe He continued to punch harderin the head Creating a mark. Staff told him if he Continued that Hey would,:
51,NOCO_RISI_01_Part1046,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,TCI Small Child hold,9/25/19,4th,,,Time each party checked by school nurse
52,NOCO_RISI_01_Part1047,Incident Involving an Emergency Intervention,ILI small child,,4,Duration: 5 mins,,Time each party checked by school nurse
53,NOCO_RISI_01_Part1048,Copy of Incident Involving an Emergency Intervention Form sent to parent: D'ate sent:,2 person escort,Date: 12/11/18,3,,,Parent/Guardian contacted: (circle)
54,NOCO_RISI_01_Part1049,Copy of Incident Involving an Emergency Intervention Form sent to parent: D'ate sent: 11-8.18,,Date: 11/1/18,Grade: 3rd,2 mins,"was back in the Classroom from math taking a break andfell asleep. staff tried to wake him up to get him to go backHe refused and began punching himself very hard and notEmergency TCI small child continued to be unsafe he would be held, he continueIntervention(s) used: letting staff help him. Staff told him if he",:
55,NOCO_RISI_01_Part105,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 3 / 27/19,Check,2mins,Was doing his Work and became veryfrustratedBehavior entering time out room:walked himself into the time out. roomBehavior exiting time out room:,
56,NOCO_RISI_01_Part1050,Copy of Incident Involving an Emergency Intervention Form sent to parent: D'ate sent:,2 person escort,Date: 10 / 2 / 18,3rd,1 min,Refused to do work at social Studies then ranby his behavior After 3 different staff and over 25 min. Staff helped himover to book rug a ad lay there Students were being distractedto his feet then he began to try to hit Staff.Emergency Intervention(s) used:,Time each party checkred hy school nurse
57,NOCO_RISI_01_Part1051,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent: 10.16.18,2 person escort,Date: 10/11/18,Grade: 3,Life Space Interview conducted by (staff name):,"was falling asleep in the middle of the hallway. Herefused to accept adult help and when staff attempted toguide him to classion , his body began to become out ofcontrol.Emergency Intervention(s) used:",Phone camp
58,NOCO_RISI_01_Part1052,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent: 6-13-18,,Date: 6/12/18,2,,,Was there any damage to school facilities or employeè's personal belongings? (circle) Yes/ No
59,NOCO_RISI_01_Part1053,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent: 6-6-18,,Date: 5/21/18,2nd,,ariund like chairs. When escarted to timeout room Keptwas in time Out room due to kicking objectskicking the door hard when told to stopn but con tinued the doorKep tswinging open Start had to hold himiEmergency Intervéntion( (s) used:,Time each party checkred school nurse
60,NOCO_RISI_01_Part1054,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent: 2.16.18,down he became more aggressive towards staff,Date: 2/13/18,2nd,,"another students toy , was walled to timeout roomwas angry that Staff. found Out he was trying to Steal.became unsafe in time Out room , staff went in to calm himEmergency Intervention(s) used: which led to The restraint,",Time each party checked by school nurse
61,NOCO_RISI_01_Part1055,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent: 12-21-17,therapentic Ling,12/20/17,Date:,,Tried to take a toy that wasnt his . When givenlots.Chances staff tried take it and he bitestaff Another StaFFtried to help but withna sucess So staff took it from him he then,:
62,NOCO_RISI_01_Part1056,Incident Involving an Emergency Intervention,Therapeutic hold / hug,Date: 12/15/17,Date: 12/15/17,15 min,"was in nurses office didn't want to use the bathroom.Sc he hit nurse, He ran out of the nurse and Stap f guided himinto the office, He refused to sit and then hit 5 taff So hehad to be held,Emergency Intervention(s) used:Therapeutic hold / hug",:
63,NOCO_RISI_01_Part1057,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Theraputic hug inte small child,Date: 12/8/17,Date: 12/8/17,,"was in the office for Scra tching (hitting teach er, When in the.office he became un safe & threw picture frame and glass bioke .Student was then held So he wouldn't go to the broken glass ,Emergency Intervention(s) used:",Time each party checked by school nurse
64,NOCO_RISI_01_Part1058,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,one person Scoop,12/8/7,Date:,,Hit teacher scratched teacher. Tried to removestudent from room after hittingEmergency Intervention(s) used:one person Scoopation:,:
65,NOCO_RISI_01_Part1059,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,office.,Date: 3/12/19,Date: 3/12/19,Duration: 2 minutes,Administration heard gilling in lobby. Admin came on scene and sawyelling and throuching a Female student with staff menturs between. Administrationrestroun to qt to the office.Emergency Intervention(s) used:office.,Time each party checked by school nurse
66,NOCO_RISI_01_Part106,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 2/27/19,Check,14mins,"was being rude to staff, refused to listen toStaff knocked ob mats, began Swearing atStaff, and trying to throw mat at staff.Behavior entering time out room:K.CKing and trying to bite staff, swearing at",
67,NOCO_RISI_01_Part1060,Incident Involving an Emergency Intervention,TCl small child on the cug of The classroom,5/16/2019,Date:,Sminutes,"Student uxes craybling under tables.and students moved unto the hall.Throwing objects, + ciyal Sorancy class was clearedEmergency Intervention(s) used:TCl small child on the cug of The classroom",:
68,NOCO_RISI_01_Part1061,Incident Involving an Emergency Intervention,TCI small child,Date: 4/16/19,Date: 4/16/19,Duration: N 3 mins,"was playing with the water fountain afterShoving chairs, requiring The class to evacuate. After a fewverbal prompts cameron continued to escalate, leadingto a hold.Emergency Intervention(s) used:",talking.
69,NOCO_RISI_01_Part1062,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,TCI small child,Date: 11/13/18,Date: 11/13/18,Duration: ~5mins.,"ras running around the classroom, Climbang on furniture hittinghimself and punching things. Given prompts and ""If. Then"" Statements, hecontinued to be unsafe and began liftinga chair.Emergency Intervention(s) used:TCI small child",:
70,NOCO_RISI_01_Part1063,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent: 11-1-18,,Date: 10.29.18,Date: 10.29.18,10,"floor crying After 10 min, staff began 10 escort C down hallwayHoor refusing to get up- Staff gave incentive but still satonbegan running in hallway When asked to walk, dropped toHe began Ricking and hitting. Staff then stopped escort plan -Emergency (s) used:",Parent/Guardian contacted: (circle)
71,NOCO_RISI_01_Part1064,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent: 1/11/19,2 person escort,,ate:,Duration: 3 minutes,classroom work refusal led to running/screening inEmergency Intervention(s) used:2 person escortDuration: 3 minutesInterview conducted by (staff name):,Time each party cheçked by school nurse
72,NOCO_RISI_01_Part1065,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent: 5/15/18,"attack Mrs, Hatfield, physical restraint needed",5/15/18,Date:,Duration: 3 min,"furniture Hatfield charging Mrs. Halfid against door, punchingFrustrated at math verbally aggressive throwingMrs.Emergency Intervention(s) used:attack Mrs, Hatfield, physical restraint needed",Time each party checked by school nurse
73,NOCO_RISI_01_Part1066,Incident Involving an Emergency Intervention,HWC escort was used to move,Date: 11/3/16,Date: 11/3/16,Duration: 35 min in QR,"Transitioned back to Mrs. Hatfields from 55 , was given book to read,was in back room with other student trasing another student abouthis name.other studentsbecamy physically aggrosive toward students",Time each party checked by school nurse
74,NOCO_RISI_01_Part1067,Copy of Incident Involving an Emergency Intervention Form sent to parent: D'ate sent:,Handle with care,9/30/19,Date:,,"was upset When staff told him In remare the blanuat.from his head when drini work. He honan to punch. himself in Thehead Severa timej. staff tried to after different Chaires for him tcuse to calm down but refused, staff had to escart him into the time 3Emergency Intervention(s) used:",:
75,NOCO_RISI_01_Part1068,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,TCI small child,Date: 2/8/19,Date: 2/8/19,Duration: 4 minutes,"was upset in PE so took a break in The time-out room whenhe realized PE was Mmost over, he started punching himselfin the head and and not respond TO verboal prompts.Emergency Intervention(s) used:TCI small child",:
76,NOCO_RISI_01_Part1069,Copy of Incident Involving an Emergency Intervention Form sent to parent: D'ate sent: 127-18,,Date: 12/6/18,Date: 12/6/18,,"595his head on the wail. Refused to take a break i Escoterwas upset that he had work, to make up. Began hittingthe head, which led to a restraint.by staff to the time out mome Began punching himself in",Parent/Guardian contacted: (circle) Yes /No When: 12/6 - 3:30pm by what method: phone
77,NOCO_RISI_01_Part107,ASC Time Out Room Log-Roomt -,ASC Time Out Room Log-Roomt -,Date: 2/26/19,Check,16mins,"was mad about an issue in math, staff triedtalking to him began to throw objects at staffand wouldnt stop When told.Behavior entering time out room:escarted, body not in control, when in there",
78,NOCO_RISI_01_Part1070,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,HWC Small child hold,Date: 11/8/17,3rd,uration: 5 min,was in the quied room. He remained escalcted andafter about IS minutas began to punch himself itz the faceEmergency Intervention(s) used:HWC Small child holduration: 5 min,Time each party checked by school nurse
79,NOCO_RISI_01_Part1071,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,HWC small Child seaked,Date: 11/1/17,3rd,uration: 20 mirs,was frustrated with a port and three a chair. in thequiet room he was Choking himself (to the point he began tocaugh) and hitting himself in the head.Emergency Intervention(s) used:HWC small Child seaked,Time each party checked by school nurse
80,NOCO_RISI_01_Part1072,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Small child sitting restraint,10-23-17,Date:,5minutes,quiet room was in usewas climbing on Classroom furniture and theEmergency Intervention(s) used:Small child sitting restraintDuration:,Time each party checked by school nurse
81,NOCO_RISI_01_Part1073,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,HWC small child hold HWC PRT takedown,10/17/17,3rd,Duration: 8 mins,"was directed to the quiet room to get himself rearly to return tothe group. Insicle, he began hutting himself with pieces of the flear he pulled upand also with his Fists,Emergency Intervention(s) used:HWC small child hold HWC PRT takedown",Time each party checked by school nurse
82,NOCO_RISI_01_Part1074,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,HWC small Child seated hold,Date: 10/16/17,Date: 10/16/17,Duration: 8 mins,"left the gymncsum with out permission. In the hall he wks trppingfurniture He went into the Sensory room and began to touch the brokensafer chairs but refused.themostat Since leaving the gym,was given Several propers prompts to make",Time each party checked by school nurse
83,NOCO_RISI_01_Part1075,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,"small child seated hold, HWC",Date: 10/16/17,Date: 10/16/17,Juration: 6 min.,"was upset by a teacher direction, he used throwmaterials, called peers names He was directed to the quietroom where he began hitting his head on the door.continued to hurt himself and hot get in control. A teacher went inEmergency Intervention(s) used: to help.",Time each party checked by school nurse
84,NOCO_RISI_01_Part1076,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,HWC small child hold,Time: 10:14,Date:,Juration: 7 min,was forstrated. He went to the sensory room few C breakbut could not regulate himself. He was throwing matricls and hottingthe bralan themostatEmergency Intervention(s) used:HWC small child hold,Time each party checked by school nurse
85,NOCO_RISI_01_Part1077,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,HWC small Child hold,Date: 10/4/17,Date: 10/4/17,Juration: 5 min,was pulling chairs cut from stucients trying to sit. He wasto the quiet room. in the quieton room he began to hitescorted(Kirk Banchard)Emergency Intervention(s) used:,Time each party checked by school nurse
86,NOCO_RISI_01_Part1078,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,"Students around, for his and other students! safety.",Date: 9/15/17,Date: 9/15/17,,became disruptive to the class and unsafe aftera direction. He was unable to transition to a break or walkaway.could not get his body in control with otherEmergency Intervention(s) used:,Time each party checked by school nurse
87,NOCO_RISI_01_Part1079,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Handle with Ccn PRT takedown,Date: 5/31/17,Date: 5/31/17,Duration: the 7 minutes,"was frustrated with the expectation. He ran around the room andthrew materials. He then began to hit teachers, at which paint he wasescarted to the quiet room. Hi continued hitting Mr.Kirk which lesd to interrentEmergency Intervention(s) used:Handle with Ccn PRT takedown",Time each party checked by school nurse
88,NOCO_RISI_01_Part108,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 2/5/19,Check,in to,went to get meds at The nurse and became frustratedthat he couldnt leave with his mom. He threw hiswater bottle out the window and thed to elopeH de-escarated enough to walk back to thecrassroom.,
89,NOCO_RISI_01_Part1080,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,small child to seated hold,Date: 5/17/17,Date: 5/17/17,Life Space Interview conducted by (staff name):,See attachedEmergency Intervention(s) used:small child to seated holdDuration:Life Space Interview conducted by (staff name):,Parent/Guardian
90,NOCO_RISI_01_Part1081,,,,,,,
91,NOCO_RISI_01_Part1082,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,small child seated hold,Date: 5/17/17,Date: 5/17/17,Duration: 6 min.,"became unsafe in the learning space HC wasremoved and became out of control throwing, Yelling,flipping chairs raising hands and kicking adults. Daimerneeded adv It help to be safe for he was unable to getEmergency Intervention(s) used: his body under control.",Time each party checked by school nurse
92,NOCO_RISI_01_Part1083,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,HW C small child seated,5/1/17,Date:,Duration: 10 min,"was upset that he had to work. want into the quiet fromand wall) was unscife Crinning into the wrills, hitting his heed on taEmergency Intervention(s) used:HW C small child seatedDuration: 10 min",Time each party checked by school nurse
93,NOCO_RISI_01_Part1084,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Handle with Care Small child sected hold,Date: 4/27/17,Grade: 2nd,Duration: 7 min,was not in control of his body and was engaging in unsafebehaviors including scif. harmEmergency Intervention(s) used:Handle with Care Small child sected holdDuration: 7 min,Time each party checked by school nurse
94,NOCO_RISI_01_Part1085,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Handle with Care small child hold into Handle with Can PRT takedown,Date: 4/25/17,Date: 4/25/17,Duration: Small child - 6 min PRT-Imir -,"was acting unsafe 1 including self-harm (hutting head on the floor,hitting himself He was not in control of his body. The small child haidwas not working to cle-escalate so i switched to the full takedown.Emergency Intervention(s) used:Handle with Care small child hold into Handle with Can PRT takedown",Time each party checked by school nurse
95,NOCO_RISI_01_Part1086,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Hundle with can small child hold,Date: 4/13/17,Date: 4/13/17,,"got Instructed when asked to work Began throwing objects, grabbing outatother students, hetting teachersEmergency Intervention(s) used:Hundle with can small child hold",Time each party checked by school nurse
96,NOCO_RISI_01_Part1087,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Hancke with Car small Child scated hoid,Date: 4/13/17,Date: 4/13/17,Duration: 5 minutes,became unsafe when he started throwing materials at otherstudents and staff membersEmergency Intervention(s) used:Hancke with Car small Child scated hoidDuration: 5 minutes,Time each party checked by school nurse
97,NOCO_RISI_01_Part1088,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Duimeir needed a Small child therapeutic hold to get,Date: 4/12/17,Date: 4/12/17,Duration: 5 min,"because escelated When a Shelter in placewas called. ite yelled, kicked the wall, stood on atable, cursed and threw Water bottle at a teacher.Emergency Intervention(s) used:Duimeir needed a Small child therapeutic hold to get",Time each party checked by school nurse
98,NOCO_RISI_01_Part1089,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,,4/12/17,Date:,Duration: 5 min,"when frustrated,began Climbing the furniturating When directedto the quiet room to get his body reccly, he began hitting Extentionthe wall with his arms and headEmergency Intervention(s used:",Time each party checked by school nurse
99,NOCO_RISI_01_Part109,ASC Time Out Room Log - Roor,ASC Time Out Room Log - Roor,Date: 2/1/10,Check,5 min.,upset because he did not earn speciallunch because of behavior in themorning.Behavior entering time out room:Knocking down chairs - throwing books,
100,NOCO_RISI_01_Part1090,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Hanille wl can Small child Seated hold,4/12/17,Date:,Duration: 8 minutes,was Climbing on furniture its was directed to the quiet roomandbecame unsafe Crunning into / hitting his hear on the wall).Emergency Intervention(s) used:Hanille wl can Small child Seated hold,Time each party checked by school nurse
101,NOCO_RISI_01_Part1091,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,the learning sp. a and continued to be uns afe and,Date: 4/11/17,Date: 4/11/17,,"be came upset at the start of math. He wentunder the table, flipped chairs, cursed, and was unsafewith other students around.was removed fromEmergency Intervention(s) used:",Time each party checked by school nurse
102,NOCO_RISI_01_Part1092,Incident Involving an Emergency Intervention,needed adult neep to,Date: 4/11/17,Date: 4/11/17,Duration: 7 min,"was upset when told he could not go into aspace used by another student. He began kicking chairs,climbing on desks and throwing materials when directedto get safe he was unsafe toward aduits kicking and pinchiEmergency Intervention(s) used:",Time each party checked by school nurse
103,NOCO_RISI_01_Part1093,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,his body and get it safe.,Date: 3/27/17,Date: 3/27/17,Duration: 6 minutes,was spending time in an alternative location whenhis body becane unsafe He climbed on top of a bookslanother student. A teacher had to help downwas hanging ove a half wall and throwing materials atand,Time each party checked by school nurse
104,NOCO_RISI_01_Part1094,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,Small child seated Handle with care hold.,Date: 3/27/17,Date: 3/27/17,,"had become unsafe in the classroom with other studenin the same space. He was kicking desks, throwing materialsand hitting himself. He needed adv Help to get his bodysafe and for the safety of other students.Emergency Intervention(s) used:",Time each party checked by school nurse
105,NOCO_RISI_01_Part1095,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,calm He was put into a small child hold and tried kigkc,3/10/17,Date:,'uration: 3 min,"another student and Daimein could not his bodya student. The quiet room was being used bystarted hilting a teacher and yelling atEmergency Intervention(s) used: and biting a teacher, He also head butt hercalm He was put into a small child hold and tried kigkc",Time each party checked by school nurse
106,NOCO_RISI_01_Part1096,Copy of Incident Involving an Emergency Intervention Form sent to parent: Date sent:,A small child Seated hold,Date: 3/8/17,Date: 3/8/17,Duration: 3 min,hit another teacher and began yelling atstudents. The quietroom was in use and Daimail couldnot get his body calm. He was put into a smallchild hold and tried kicking a teacher and bite her. whileEmergency Intervention(s) used: in the hold he hit his knee on me wall,Time each party checked by school nurse
