,id,doc_type,date,start_time,end_time,description,restraint_type
43,ASSS_RI_03-part-5,Physical Restraint Documentation Form,Incident Date: 10/4/2019,Start Time: 1:31,End Time: 1:37,"had been reminded about being respectful and began throwing objects around the classroom; striking several of his classmates. was directed to take a break in the time out room, but refused. The",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
44,ASSS_RI_03-part-6,Physical Restraint Documentation Form,Incident Date: 10/15/2019,Start Time: 2:25,End Time: 2:30,"had been intermittently behavioral for much of the latter afternoon. At dismissal, was able to board his bus in a state of reluctance. Once,",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
45,ASSS_RI_03-part-7,Physical Restraint Documentation Form,Incident Date: 10/11/2019,Start Time: 1:15,End Time: 1:38,"has spent several hours in the break area outside of the time out room. We monitored thile he engaged in strange behavior, attempting to climb furniture, poking his teachers, speaking incoherently, and screaming.",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
46,ASSS_RI_03-part-8,Physical Restraint Documentation Form,Incident Date: 10/31/2019,Start Time: 1:35,End Time: 2:15,Student was sitting on classroom table and throwing toys. Student then walked out of the room into the outsidde room of the break room. Student stomped on plastic toy; crushing it. Staff tried picking up broken shards of plastic because of their sharpness. Student held on to one piece. Staff directed student to give the,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
47,ASSS_RI_03-part-9,Physical Restraint Documentation Form,Incident Date: 10/15/2019,Start Time: 1:35,End Time: 1:40,Came back from OT and was agitated. We changed the expectation from Raz kids to reading a book of his own. He became frustrated and took a break in the back. He explained his frustration of reading to staff and rejoined for Speech Group Participated during,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
48,ASSS_RI_04-Part-1,Physical Restraint Documentation Form,Incident Date: 10/08/2019,Start Time: 1:30,End Time: 1:50 pm,"las heen trying really hard to be off grounding at home. He was doing great until shared reading. The plan was to go work with on his reading testing. However, a few peers in need of adult support requiredi",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
49,ASSS_RI_04-Part-10,Physical Restraint Documentation Form,Incident Date: 11/21/2019,Start Time: 9:51,End Time: 9:54,It was time for to transition from a preferred activity to check his individual schedule. Ebegan yelling and hitting the table,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
50,ASSS_RI_04-Part-11,Physical Restraint Documentation Form,Incident Date: 11/12/19,Start Time: 9:10,End Time: 9:40,"Whent was preset that Reading would begin in four minutes, he lunged a (TA) and began",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
51,ASSS_RI_04-Part-12,Physical Restraint Documentation Form,Incident Date: 11/13/19,Start Time: 1:25,End Time: 3:00,"When Iwas preset that it would be time to get ready for the bus, he jumped on a table, began swearing and then lunged at the teacher,",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
52,ASSS_RI_04-Part-13,Physical Restraint Documentation Form,11/8/2019,2:40,2:45 Observers: Participants:,When transitioning off of the iPad to get ready to go home. He became upset trying to bite came over to assist,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
53,ASSS_RI_04-Part-14,Physical Restraint Documentation Form,11/15/2019,2:40,2:45 Observers: Participants:,When transitioning off of the iPad to get ready to go home. He became upset trying to bite came over to assist,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
54,ASSS_RI_04-Part-15,Physical Restraint Documentation Form,11/21/19,11:10,Social Work Office 11:20 Observers:,"ad individual social work. He then was given his work for card and he chose ""legos"" was able to quietly walk down the hall to the social work office. Once there he began to try to bite-",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
55,ASSS_RI_04-Part-16,Physical Restraint Documentation Form,11/21/2019,2:20,Classroom 2:45 Observers:,During music class' tried to bite called for,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
56,ASSS_RI_04-Part-17,Physical Restraint Documentation Form,Incident Date: 12/16/19,Start Time: 12:20,End Time: 12:28,retured to leave the social walk room. when prompted he grabbed hand and best he fingers back. The fluates,Please check which TCIS physical restraint was employed:Standing Restraint Seated Restraint Supine Restraint
57,ASSS_RI_04-Part-18,Physical Restraint Documentation Form,Incident Date: 12/3/19,Start Time: 11:20,11:25 Observers: Participants:,"began screaming when working on an assignement. He quickly escalated and stood on desk, screamed profanities, and threw objects at the teacher. He began running down the hall where staff were able to guide him into the time out room. Once in the time out room,",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
58,ASSS_RI_04-Part-19,Physical Restraint Documentation Form,Incident Date: 12/18/19,Start Time: 12:55,End Time: 12:56,,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
59,ASSS_RI_04-Part-2,Physical Restraint Documentation Form,Date: 10/18/219- 10/18/2019,Start Time: 12:05,End Time: 12:15,"had become upset during a work group. He spent several minutes screaming and crawling on the floor attempting to make messes in the classroom. We monitoreda for safety and allowed him space to crawl around, and cleared the other students",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
60,ASSS_RI_04-Part-20,Physical Restraint Documentation Form,12/11/19,11:35,Classroom to Zen room 12:10 PM Observers:,"Today at 11:35 am, burst out in tears, crying very hard. He had just finished his lunch, 1 asked him if he wanted the snack mom packed a few seconds before the crying started. I asked him on his Ipad ""was he",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
61,ASSS_RI_04-Part-21,Physical Restraint Documentation Form,12/18/2019,PM,Classroom 2:15 Observers:,"While, was on Tumble Books listening to a book he got upset. He took my hand and placed it on his chin wanting me to give him deep presure to his jaw/chin area. While 1 was giving him deep pressure he tried",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
62,ASSS_RI_04-Part-22,Physical Restraint Documentation Form,12/20/19,1:00,Classroom 1:15 Observers:,"sat in the classroom gravity chair, walked by) got to his feet & attempted to bite her.",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
63,ASSS_RI_04-Part-23,Physical Restraint Documentation Form,1/6/2020,9:20,OT Room 9:25 Observers:,"twas having a difficult time in When I came in to the area, he was throwing things all over the room, and yelling and swearing.",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
64,ASSS_RI_04-Part-3,Physical Restraint Documentation Form,Incident Date: 10/15/10,Start Time: 12:25,End Time: 12:35,"was having a difficult morning with self regulating. He ended up going to the back of the room taking a break. School had a fire drill which caused to have to get up and go outside. He was very unhappy about it. Once the drill was over,",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
65,ASSS_RI_04-Part-4,Physical Restraint Documentation Form,Incident Date: 10/30/2019,Start Time: 11:12,End Time: 11:18,"had been running around the room, around classmates trying to complete work. He was then in the cubby area where he began taking classroom materials and shoving his body into staff. was then climbing the cubbies. Staff offered x5 intervention options",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
66,ASSS_RI_04-Part-5,Physical Restraint Documentation Form,Incident Date: 10/31/2019,Start Time: 2:05,End Time: 2:07,had been running around the room refusing to clean a mess he had made was then reminded that he needed to be safe in the room. He then continued to run around the room and crash in the cushions.,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
67,ASSS_RI_04-Part-6,Physical Restraint Documentation Form,Incident Date: 11/4/19,Start Time: 1:51,1:56 Observers: Participantsy,pushed took a chair and threw it at the radiator. Then he tried to throwit at,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
68,ASSS_RI_04-Part-7,Physical Restraint Documentation Form,Incident Date: 11/21/2019,Start Time: 8:40 AM,End Time: 8:46 AM,"eft her classroom upset and went to the gym. Floaters were called to de-escalate. While attempting to de-escalate, threw a chair at the floater and eloped from the building. She re-entered the building",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
69,ASSS_RI_04-Part-8,Physical Restraint Documentation Form,11/14/2019,Start Time: 11:13,End Time: 11:18 AM,was asked to transition from a preferred activity. He got upset. Staff reassured him that he would be able to have something he wanted once he transitioned. continued to escalate and threw his,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
70,ASSS_RI_04-Part-9,Physical Restraint Documentation Form,Incident Date: 11/20/2019,Start Time: 10:21,End Time: 10:25,The classroom at the time was very loud by other children screaming and crying. The classroom team feels that this was a factor in what occurred with was transitioning to another reading center and was perseverating on something that he could not,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
71,ASSS_RI_05-Part-1,Physical Restraint Documentation Form,Incident Date: 1/6/20,Start Time: 10:24,End Time: 10:35,was already dysregulated and frustrated. He transitioned frome t and was getting aggressive.,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
72,ASSS_RI_05-Part-10,Physical Restraint Documentation Form,Incident Date: 1/09/20,Start Time: 1:30pm,End Time: 1:40pm,"pecame agitated at shared reading with having space to do his puzzle. He finally settled. At the end of the period, he did not want to put his puzzle away and move into science, but he did. He escalated at science, despite many offers to take a break in the zen den or go for a walk.",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
73,ASSS_RI_05-Part-11,Physical Restraint Documentation Form,Incident Date: 1/30/2020,Start Time: 11:50,End Time: 12:05 PM,It was time for o transition to a preferred activity. He began yelling and hitting the table and staff. ran across the,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
74,ASSS_RI_05-Part-12,Physical Restraint Documentation Form,Incident Date: 1/24/2020,Start Time: 1:40,End Time: 1:43,It was time fa to transition from a preferred activity to check his individual schedule. began yelling and hitting the table,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
75,ASSS_RI_05-Part-13,Physical Restraint Documentation Form,Incident Date:1/17/2020,Start Time: 11:27 a in 8,End Time: ister 11:28 am,was in the hallway destroying property. A crisis team member tried to de-escalate her. She started trying to punch the crisis team member. The remainder of crisis team was called. RECEIVED,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
76,ASSS_RI_05-Part-14,Physical Restraint Documentation Form,Incident Date: 02/04/2020,Start Time: 8:53,End Time: 8:57,"came in from the bus presenting as very angry. We quickly realized he was tired. After reaching out to mom, she let me know that he was up several times throughout the night. was swearing and threatening teachers upon entering the classroom. He ate",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
77,ASSS_RI_05-Part-15,Physical Restraint Documentation Form,Incident Date: 2/14/2020,Start Time: 1:03,End Time: 1:06,"blid not earn the Valentines Day party, he was told this before he went down to social work. He did a great job in social work but when he saw the other kids at the party he got very upset. We brought him in the room and he tried to shove past me. He didn't move much, he slowly dropped to the floor and started kicking me. I told him how about we go to the back of the room to take a little break",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
78,ASSS_RI_05-Part-16,Physical Restraint Documentation Form,"Incident Date: Feb. 6, 2020",Start Time: 1:33,End Time: 1:40,got upset that he didn't get a picture that he wanted to put up on our monthly words. He wanted Abraham Lincoln and already did that one: tried to trade Washington with something that Lincoln had he threw it back to her but then tried to grab,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
79,ASSS_RI_05-Part-17,Physical Restraint Documentation Form,02/10/2020,Start Time: 1:55,End Time: 2:09,refused to read for Raz Kids because his nose was all stuffed up. He started punching the chrome book and swinging his headphones. Staff reduced expectations and offered to help. stated he did not want to complete the work and he was fine,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
80,ASSS_RI_05-Part-18,Physical Restraint Documentation Form,Incident Date: 2/25/2020,Start Time: 10:00,End Time: 10:13,was angry that,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
81,ASSS_RI_05-Part-19,Physical Restraint Documentation Form,9:27,AM,2nd Floor Time Out Room 9:29AM Observers:,"was given a directive by classroom staff to transition to AWL. He ran from staff through the building and was eventually led to the Time Out room. While in Time Out, was screaming, crying, kicking and",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
82,ASSS_RI_05-Part-2,Physical Restraint Documentation Form,Incident Date: 1/7/20,Start Time: 2:10,End Time: 2:23,twas at listening book when he ran away and was hiding under a desk. Staff quietly and quickly removed items that could be potential throwing objects. Staff gave space and he crawled into the bathroom.,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
83,ASSS_RI_05-Part-20 2,Physical Restraint Documentation Form,Incident Date: 2/3/2020,Start Time: 9:10,End Time: 9:13,It was time for to check his schedule and transition to the next activity. He got upset when the person working with him had to leave him to work with someone else. He began hitting the table and staff. When staff gave,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
84,ASSS_RI_05-Part-21,Physical Restraint Documentation Form,Incident Date: 2/5/2020,Start Time: 9:02,End Time: 9:16,has been becoming more aggressive throughout the school day - even when he is happy and engaged in a preferred activity. was eating breakfast and scratched a staff member. He was reminded to have safe hands. When another staff member came over to talk to,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
85,ASSS_RI_05-Part-3,Physical Restraint Documentation Form,Incident Date: 1/14/2020,Start Time: 10:55,End Time: 10:58,had asked to use the bathroom in the midst of being angry. While in the bathroom began screaming and yelling and attempting to barricade the door. I entered the bathroom because had already exhibited self-destructive behavior and we were,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
86,ASSS_RI_05-Part-4,Physical Restraint Documentation Form,Incident Date: 1/14/2020,Start Time: 2:35,End Time: 2:45,had missed his bus to go home as he had been in crisis for some time. was awaiting his mothers arrival to take him home when he became physically aggressive toward his teachers (punching and,Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
87,ASSS_RI_05-Part-5,Physical Restraint Documentation Form,Incident Date: 1/27/20,Start Time: 12:40,End Time: 12:55,"Working with land one other student in math group, became frustrated (as indicated by her body",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
88,ASSS_RI_05-Part-6,Physical Restraint Documentation Form,Incident Date: 1/9/2020,Start Time: 10:17am,End Time: 10:25am,"was heading back to class after being in timeout. He kicked the wall with his foot. 1 said if you're kicking the wall you're not ready to go back, lets head back to timeout. started running around in a circle in the hallway.",Please check which TCIS physical restraint was employed:Small Child Restraint Standing Restraint Seated Restraint
