,id,doc_type,school_name,date,restraint_type,duration,description
22,SUL_RI_01_Part1018,Physical Intervention Incident Report,ProgramITAP,"Wednesday September 12, 2018",Type of Physical Intervention Used:Small ChildStanding HoldxProneis,Duration of Hold: 4,"was asked to go to the Time Out Room by Ms. Walsh. He refused tofollow the directions. After several attempts of redirecting him he was escorted tothe Time Out Room. When he was placed in the Time Out Room he was asked touse the space and take some time away.did not do this he began to kick, hit"
23,SUL_RI_01_Part1019,Physical Intervention Incident Report,ProgramITAP,"Wednesday, September 12, 2018, 2:18- 2:21PM",Type of Physical Intervention Used:Small ChildStanding HoldxProneUS,3,"I was called to classroom wherehad locked himself in thebathroom. As he came out, he bolted ínto the hallway and ran down to thebasement. He opened door and put his foot outside but then closed thedoor. I stopped him in the hallway and walked back with him to the"
24,SUL_RI_01_Part102,BEHAVIORAL INCIDENT REPORT,Program: SPARC Date of Incident: 12/07/2016Day of Week: Mon.,Program: SPARC Date of Incident: 12/07/2016,Type of hold: Small ChildStanding Hold:2 Person:3 Person:Duration of hold:hr(s). 9min(s).,hr(s). 9min(s).,returned to classroom from ALC.a refused to accept one direction request.hit Mrs. Campbell two times and used her hands and grabbed the teachers armsdigging her finger nails into her arm. She was put in a HWC theraputic sitting hold for fiveminutes. A release was attempted but
25,SUL_RI_01_Part1020,Physical Intervention Incident Report,ProgramITAP,"Wednesday September 12, 2018 2:10 PM",,Duration of Hold: 10 minutes,vas asked to come to E-1 and take a break after having somedifficulties in the classroom. When he came in he refused to followdirections. The staff of the room explained the expectations to him andgave him a choice of sitting at a student desk or go to the time out room totake a five-minute break.
26,SUL_RI_01_Part1021,Physical Intervention Incident Report,ProgramSp Ed Elm.,09/11/18,Type of Physical Intervention Used:Small ChildxStanding HoldProneDuration of Hold: 1 minutes,Duration of Hold: 1 minutes,walked out of his classroom and attempted to leave the Ewinghallway. Ms. Walsh askedto come into E-1 and take a break.Proximity control was used to help Robert make a better decision.did not follow the direction and attempted to push through Ms. Walsh.
27,SUL_RI_01_Part1022,Physical Intervention Incident Report,Program8:1:1,9/11/2018,Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 1 minutesAntecedents,Duration of Hold: 1 minutes,"I was walking in the hallway when Ms. Biro and I were called tocome assist Mrs. Grey.was standing on the ramp of the buildingand did not want to follow any of her directives. He was offered use of theALC room and/or a break. When approached, he walked away and headed"
28,SUL_RI_01_Part1023,BEHAVIORAL INCIDENT REPORT,Program: ITAP Date of Incident:9/7/18Day of Week: Mon.,Program: ITAP Date of Incident:9/7/18,Type of hold: Small ChildStanding Hold:2 Person:3 Person:Duration of hold:hr(s). 10min(s).,hr(s). 10min(s).,was escorted down to E-1 from his classroom and placed into the Time Out Room. Whenhe was placed in the Time Out Room he kicked and hit staff. The staff asked him to use thespace and closed the door. When the door was closedran to the back of the room and ranhead and shoulder first into the door. I asked him to be safe and use the room responsibly.
29,SUL_RI_01_Part1024,BEHAVIORAL INCIDENT REPORT,Program RPEC Date of Incident: 9/6/18Day of Week: Mon.,Program RPEC Date of Incident: 9/6/18,Type of hold: Small ChildStanding Hold:2 Person:3 Person:Duration of hold:hr(s). 8min(s).,hr(s). 8min(s).,was asked to go into to the Time Out Room to take some time away after throwing hisbreakfast on the floor. Whenwent into the Time Out Room he began to push and hitme. He also hit his head on the hall several times. I used proximity control and asked him to nothurt me and used the space with a calm body and voice
30,SUL_RI_01_Part1025,,,,,,"him we couldnt dit anything about the heat he beganwas complaining of being Cold When we toldto Say ""I hope the School blows up ther when we toldhim that was not okay to Say he then Said ""Idont care Im mad. Im Killing the Seal people on the paper"
31,SUL_RI_01_Part1026,BEHAVIORAL INCIDENT REPORT,Program: Sumer School Date of Incident: 8/13/18Day of Week: Mon.,Program: Sumer School Date of Incident: 8/13/18,Type of hold: Small ChildStanding Hold:2 Person:3 Person:Duration of hold:hr(s). 8min(s).,hr(s). 8min(s).,got frustrated with a language assignment and threw his paper on the floor. When hetransitioned to reading he was offered help to first complete his language assignment. He rippedup the paper and threw it on the floor. Staff prompted him to take a break in ALC.Your actions:When I arrived
32,SUL_RI_01_Part1027,BEHAVIORAL INCIDENT REPORT,Program:ESY 8:1:3,8/9/2018,Type of Hold:Duration of Hold:Click here to enter text.hr(s) 17 min(s)Danger of physical injury to selfRationale for Physical Intervention Used:,Click here to enter text.,went to one of the special shops and was having a hard time following directions. When he returned to class hebecame upset because all of the other students had more chocolate than he did. The teacher reminded him that this was aspecial treat (his mom does not want him to have an excess of candy). He became upset with the staff and other students inthe room. He yelled at some of the students and was offered a break in ALC. He then hid in the corner and was playing withone of the shelves.
33,SUL_RI_01_Part1028,BEHAVIORAL INCIDENT REPORT,Program:Summer School Date of ncident:08/01/2018Day of Week: Mon.,,Type of hold: Small ChildStanding Hold:2 Person:3 Person:Duration of hold:hr(s). 1Qmin(s).,hr(s). 1Qmin(s).,"When the rest of the class was lining up for an earned activity thatwas not eligible for (hehad ripped up his work instead of completing it),became upset and flipped his desk in thedirection of a peer causing it to strike her foot and injure her."
34,SUL_RI_01_Part1029,BEHAVIORAL INCIDENT REPORT,Program: Summer School Date of Incident 07/27/2018Day of Week: Mon.,,Type of hold: Small ChildStanding Hold:2 Person:3 Person:Duration of hold: Ohr(s). 1min(s).Rationale for physical intervention used:,Duration of hold: Ohr(s). 1min(s).,"was in a HWC Hold in her classroom due to unsafe behaviors.was physicallyaggressive with several staff members in her classroom and was flipping desks. After unsafebehaviors in the classroom and after being released from the classroom HWC Hold, a plan wasdeveloped at which time"
35,SUL_RI_01_Part103,BEHAVIORAL INCIDENT REPORT,Program: SPARC Date of Incident: 12/07/2016Day of Week: Mon.,Program: SPARC Date of Incident: 12/07/2016,Type of hold: Small ChildStanding Hold:2 Person:3 Person:Duration of hold:hr(s). 9min(s).,hr(s). 9min(s).,"was unable to accept verbal and visual prompts to get off of the computer in the timegiven. She was verbally aggressive yelling, ""Leave me alone.' The computer monitor was turnedoff.smacked the teacher with her hands while holding the headphones three times inthe teachers arm."
36,SUL_RI_01_Part1030,BEHAVIORAL INCIDENT REPORT,Program Summer School Date of Incident: 07/25/2018Day of Week: Mon.,Program Summer School Date of Incident: 07/25/2018,Type of hold: Small ChildStanding Hold:1 Person:3 Person:Duration of hold:hr(s). 8min(s).,hr(s). 8min(s).,"was upset with class work expectations and peer interactions so he began flipping desksand throwing chairs.Your actions:When I entered the roomwas pushing staff, kicking furniture over, and kicking at peers."
37,SUL_RI_01_Part1031,BEHAVIORAL INCIDENT REPORT,Program: Summer School Date of Incident 07/24/2018Day of Week: Mon.,,,hr(s). 5min(s).,punched staff in the face.Your actions:Upon meetingin the hallway and an injured staff member whilewas still
38,SUL_RI_01_Part1032,BEHAVIORAL INCIDENT REPORT,Program: Summer School Date of Incident:07/23/2018Day of Week: Mon.,Program: Summer School Date of Incident:07/23/2018,Type of hold: Small ChildStanding Hold:2 Person:3 Person:Duration of hold:hr(s). 4min(s).,hr(s). 4min(s).,"was upset that he could not write something inappropriate in a letter to a peer that he wasresponding to. He did not want to write to that person and really wanted to write to someoneelse.put himself in the corner of the room and began grabbing things around him andthrowing them. When staff prompted him to take a break he became physically aggressive,"
39,SUL_RI_01_Part1033,BEHAVIORAL INCIDENT REPORT,Program:/ Date of Incident: 08/16/2018Day of Week: Mon.,Program:/ Date of Incident: 08/16/2018,Type of hold: Small ChildStanding Hold:2 Person:3 Person:Duration of hold:hr(s). 9min(s).,hr(s). 9min(s).,was prompted to go to lunch. He did not want to go initially and threw a toy.then when he decided to go to lunch but he did not want his staff to go with him.thentried to punch his staff.Your actions:
40,SUL_RI_01_Part1034,BEHAVIORAL INCIDENT REPORT,Program: ESY Date of Incident: 8/13/18Day of Week: Mon.,Program: ESY Date of Incident: 8/13/18,Type of hold: Small ChildStanding Hold:2 Person:3 Person:Duration of hold:hr(s). 5 min(s).,hr(s). 5 min(s).,"said to Mr. Larkin, ""I hate mom, I going to hit mom, I am going to blow up the schoolwasverbally reprimanded about his comments. He punched and kicked with little force, Mr. Larkinand Mr. Doyle.continued to verbally threaten to hit staff."
41,SUL_RI_01_Part1035,Physical Intervention Incident Report,ProgramSpecial Education Summer School,"Tuesday, August 6, 2019, 9:30 am",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: minutesAntecedents,Antecedents,"just finished Language Arts. She was told to sit down, she refusedand became aggressive. She started hitting and kicking staff. She tried toattack another peer and when redirected not to, she bit at staff. Shecontinued to be aggressive and had to be put in a small child hold at 9:30.She was released at 9:32."
42,SUL_RI_01_Part1036,Physical Intervention Incident Report,ProgramSE Summer School,"Tuesday August 6, 2019 @, 10:32 am",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 2 minutesAntecedents,Duration of Hold: 2 minutes,"objected to doing any work and he was given a few minutes to sitquietly. His work was again introduced andstarted cursing, statinghe was not going to do any work. He got mad at a staff member that toldhim to stop cursing and being rude."
43,SUL_RI_01_Part1037,Physical Intervention Incident Report,ProgramESY,"Thursday, 08/08/2019, 8:35 to 8:40 AM",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 5 minutes. (8:35 to 8:40 AM)Antecedents,Duration of Hold: 5 minutes. (8:35 to 8:40 AM),"was in her classroom as the Pledge of Allegiance was beginning over the loudspeaker.refused to stand and staff directed her to stand as it was disrespectful to not. Eventually,followed direction, but following the Pledge,was presented with academic work by classroomstaff and"
44,SUL_RI_01_Part1038,Physical Intervention Incident Report,ProgramESY,"Thursday, 08/08/2019, 12:10 PM",Type of Physical Intervention Used:Small ChildStanding Hold (Escort)ProneDuration of Hold: Approx. 1 minuteAntecedents,Duration of Hold: Approx. 1 minute,"was playing a game with his classmates when he claims that he got upset because ""the otherstudents were teasing him and they were not following the rules.""eloped out a side door nearthe cafeteria and walked down towards the recess area but off to the side where active constructionwas occurring. Rory and Nikki Revier intervened blocking"
45,SUL_RI_01_Part1039,Physical Intervention Incident Report,ProgramA13,8/9/19 8:37am,Type of Physical Intervention Used:x Small ChildStanding HoldProneDuration of Hold: approximately 3 minutesAntecedents,Duration of Hold: approximately 3 minutes,"got up from his seated position in therapy room(speech) andrequested juice. We began walking towards classroom exit door, he said,""no"" went into time out room, we looked at pictures on wall, began exitingtime out room, he began spitting, hitting and scratching the therapist. Hewas put in a stand hold, began kicking, trying to release from stand hold,"
46,SUL_RI_01_Part104,BEHAVIORAL INCIDENT REPORT,Program:SPARC Date of Incident: 11/17/2016,SPARC Date of Incident: 11/17/2016,Type of Hold:Standing Hold2 Person3 PersonDuration of Hold:Click here to enter text. hr(s) Click here to enter text. min(s),Click here to enter text. hr(s) Click here to enter text. min(s),"Studentswere finishing up their lunch in the classroom and then were directed to go back to their tables to continue withschool work.began to follow another student around the classroom, the student asked her many times to stop andcontinued to go around the table, avoiding staff or other interferences to get to him. She would come up very closely and"
47,SUL_RI_01_Part1040,Physical Intervention Incident Report,Program8:1:3,8/4/14 11:05 - 11:27,Type of Physical Intervention Used:Iped F herdeboresSmall ChildStanding HoldProneDuration of Hold: minutes,Antecedents,"because fixated an the sole M the Aurse's room. when this wasdericed again, she became assessare and started to Git the fillingWe want to fake a break in ALL, and she byen to get Moreaggressive, Restrant to adress the assissive fantrum. She face littly her had,bithing & swetting of staff. This necessitated a thx prou"
48,SUL_RI_01_Part1041,,ProgramESY,"Tuesday August 13, 2019 at 9:47 a.m.",Type of Physical Intervention Used:X Small ChildStanding HoldX ProneDuration of Hold: 2 minutesAntecedents,Duration of Hold: 2 minutes,"I tookto ALC for not following directions, hitting, scratching andspitting at staff. When we got to ALC he was asked to sit in a chair,then started hitting, kicking, spitting, scratching and biting staff, Staff usedproximity control and prompted him with a reward for good behavior,"
49,SUL_RI_01_Part1042,Physical Intervention Incident Report,ProgramESY,"Tuesday, 08/13/2019, 9:10 AM","Type of Physical Intervention Used:Small ChildStanding Hold (1 standing PRT, 1 escort)ProneDuration of Hold: #1: Standing PRT: 1 minute. #2: Escort: <1 minute. #3: Small child: 2 minutes.#4: Prone: 9 minutes.",Duration of Hold: #1: Standing PRT: 1 minute. #2: Escort: <1 minute. #3: Small child: 2 minutes.,was in morning meeting when he began to wander around the classroom and not followdirections. He was redirected several times to either take a staff initiated break (walk or time awayarea) or attend to the task at hand.continued to refuse and began to throw classroom materials.He was redirected again to take a break or follow classroom rules
50,SUL_RI_01_Part1043,Physical Intervention Incident Report,ProgramSE Summer School,"Wednesday, August 14, 2019 approx. 11:31AM",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: approx. 3 minutesAntecedents,Duration of Hold: approx. 3 minutes,got of his seat at lunch and was crawling on the floor. He wasdirected several time to get off the floor and come out from the beneath thetable. He was laying down underneath the table and putting his legsaround the center structures trying to hang from it. He was also kickingthe table and began to lift it. He was offered a break to walk to ALC a
51,SUL_RI_01_Part1044,Physical Intervention Incident Report,ProgramESY,"Friday, 08/16/2019, 12:44 to 12:47 PM",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 3 minutes(PRT 12:44-12:45 to prone 12:45 to 12:47),Duration of Hold: 3 minutes,"was in his classroom and being unsafe, hitting, kicking, scratching, and spitting on staff andwas directed to take a break in the Alternative Learning Center. Upon entering the ALC room,was directed to sit in an appropriate area. Whileinitially followed direction, he then stood upand punched a staff member in the chest and spit on staff."
52,SUL_RI_01_Part1045,Physical Intervention Incident Report,ProgramESY,"Monday, 08/12/2019, 9:44 - 9:48 AM",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 4 minutesAntecedents,Duration of Hold: 4 minutes,"had trouble transitioning from his school bus to class. While in his classroom, he was beingnoncompliant and was directed to an appropriate area of the classroom where he lightly hit his headoff of the floor. Ms. V took him to the Health Office to be evaluated by School Nurse Kelly. Upon thenurse clearingand allowing him to return to class,"
53,SUL_RI_01_Part1046,Physical Intervention Incident Report,ProgramESY,"Friday, 08/16/2019, 1:18 to 1:30 PM",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 12 minutes(PRT 1:18-1:20 to prone 1:20 to 1:30 PM),Duration of Hold: 12 minutes,"had transitioned from outdoor recess to the classroom for academic movies. The classroom wasdirected to sit on the carpet to watch the movie andbecame resistant, refusing to sit in the area.Staff gave him the option to sit on the carpet or sit in a chair andrefused both options, instead"
54,SUL_RI_01_Part1047,Physical Intervention Incident Report,ProgramSpecial Education - Summer School RPEC,"Monday, 08. 19.2019, 10:45 AM",Type of Physical Intervention Used:Small ChildStanding HoldXProneDuration of Hold: Prone 10:46 AM - 10:55 AM (9 minutes),Duration of Hold: Prone 10:46 AM - 10:55 AM (9 minutes),was in an individual group when he began to throw the classroommaterials and hit a staff member. He was redirected to take a break or gofor a walk to deescalate.refused and began to throw moreclassroom materials and push the furniture. He was redirected to take a
55,SUL_RI_01_Part1048,Physical Intervention Incident Report,ProgramESY,"Monday, 08/19/2019, 11:12 - 11:16 AM",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 4 minutesAntecedents,Duration of Hold: 4 minutes,"was in her classroom when she wanted possession of another student's item. When classroomstaff told her that she could not have it because it was not hers,became aggressive, banging herelbow and fist off of the desk. Class staff transitioned Lian to the nurse's station wherewas"
56,SUL_RI_01_Part1049,Physical Intervention Incident Report,ProgramSpecial Education - Summer School RPEC,"Monday, 08.19.2019, 12:35 PM",Type of Physical Intervention Used:Small ChildXStanding HoldXProne,Duration of Hold: Standing 12:39 PM - 12:44 PM (5 minutes),was in an individual group when he began to request items andactvities that were not available. He was reminded of the free time andrewards he had/will earn when he completed his work.began tothrow classroom materials and push the furniture. He was redirected to
57,SUL_RI_01_Part105,BEHAVIORAL INCIDENT REPORT,Program:Special Ed WSS Date of Incident: 1/7/2016,Special Ed WSS Date of Incident: 1/7/2016,Type of Hold:Standing Hold2 Person3 PersonDuration of Hold:Click here to enter text.,Click here to enter text.,"came into ALC for a time out. He mentioned a bus referral but when asked what happened he replied ""None of yourdamn business"". He became very aggressive and refused to stay in his area. He kicked and hit staff several times and wasprompted to stop but did not. His aggression continued and he had to be placed in a standing hold. He continued to kick,scratch and pinch staff and then spit at and on staff several times.then began to bang his head on the wall and"
58,SUL_RI_01_Part1050,Physical Intervention Incident Report,ProgramESY,"Monday, 08/19/2019, 12:49 - 12:53 PM",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 4 minutesAntecedents,Duration of Hold: 4 minutes,"had asked to take a break in the Alternative Learning Center (ALC) room and while taking his break, he wasfollowing directions. Upon another student entering the ALC room and that student not following ALC directions (runninginto offices where students were not permitted, disrespecting staff)jumped up from his seat and started slappingand punching a staff member and a Handle With Care hold was utilized to prevent injuries to staff members. During the"
59,SUL_RI_01_Part1051,Physical Intervention Incident Report,ProgramSE Summer School,"Monday, August 19, 2019",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: approx 17 minute incidentAntecedents,Duration of Hold: approx 17 minute incident,begam running out the door of B-9 down the B Wing to the exit. Heexited and I was able to grab him. I used HWC intervention in the form ofa standing hold and Justin Lark took over the intervention and proceededto put him in the prone position. This was a duration of 2 minutes. Oncereleased he tried to elope again and Justin Lark proceeded to use HWC
60,SUL_RI_01_Part1052,Physical Intervention Incident Report,Program8:1:3 ESY,"Monday, 07/22/2019, 9:57 - 10:02 AM",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: 5 minutesAntecedents,Duration of Hold: 5 minutes,became vocally aggressive in the classroom when she requested pita bread to eat and the classdid not have it. The class offered alternative edibles tobut she did not want them and continuedto scream in the classroom.was directed to take a break in the Alternative Learning Center
61,SUL_RI_01_Part1053,Physical Intervention Incident Report,ProgramSpecial Ed Summer School,"Monday July 22, 2019 @10:32",Type of Physical Intervention Used:Small ChildStanding HoldProneDuration of Hold: minutesAntecedents,Antecedents,"wanted to go home and his request was denied by his Dad. He hadmade himself sick around 10:00 am when he was asked to transition fromthe ipad to ELA and he was taken to the Nurse. A call was made home andat Dad's request he was asked to stay in school.became angry, calling Dad a jerk and pounding on the door. He theu"
62,SUL_RI_01_Part1054,Physical Intervention Incident Report,Program8:1:3 ESY,"Tuesday, 07/23/2019, 2:05 - 2:06 PM",Type of Physical Intervention Used:Small ChildStanding Hold (Escort)ProneDuration of Hold: 1 minuteAntecedents,Duration of Hold: 1 minute,"was in the ALC room taking a break and was being unsafe hitting and slapping staff, tryingto bite staff, and attempting to throw objects and push a desk and chair over. Despite staff utilizingproximity control and blocking the problem behaviors, the aggression continued withIstating""you happy? You mad? I'm going to hit you in the face.'"
