,id,doc_type,school_name,grade,date,duration,description,restraint_type,injury
29,GLEN_RI_04_Part2,Critical Incident Report,School: JackionDate/Time 9/21/2021,Grade/Class: 3'1,,Length of Incident: 2 minutes,,,"Police responded to school for support,"
30,GLEN_RI_04_Part3,Critical Incident Report,School: Jackson HeightsGrade/Class:,13,,Setting of Incident: recess field,,,normal. student alnies paths
31,GLEN_RI_05_Part1,Critical Incident Report,School: Jackson HeightsGrade/Class: 3rd /,Grade/Class: 3rd /,,Date/Time of Incident: 10:45 am /10/27/12 Length of Incident: 5 minutes,,,Man the in transporting
32,GLEN_RI_05_Part2,Critical Incident Report,School: JackionDate/Time 9/21/2021,Grade/Class: 3'1,,Length of Incident: 2 minutes,,,"Police responded to school for support,"
33,GLEN_RI_05_Part3,Critical Incident Report,School: Jackson HeightsGrade/Class:,13,,Setting of Incident: recess field,,,normal. student alnies paths
34,GLEN_SI_01_Part1,,,,,,,,
35,GLEN_SI_01_Part2,,,,,,,,
36,GLEN_SI_01_Part3,,,,,,,,
37,GLEN_SI_01_Part4,,,,,,,,
38,GLEN_SI_01_Part5,,,,,,,,
39,GLEN_SI_01_Part6,,,,,,,,
40,GLEN_SI_01_Part7,,,,,,,,
41,GLEN_SI_01_Part8,,,,,,,,
