,id,doc_type,date,start_time,end_time,description,student_id
30,ASSS_SI_01_Part7,Time Out Room Log,Date: 10/25/17,Time exited:,1155 Am,during lunch. - buth played with itanyway- - staff reminded him 05 consequencesstaFF directed him to shut itoff,
31,ASSS_SI_01_Part8,Time Out Room Log,Time entered:,Time exited:,10/20/17,became upset because he didnot get crackers with his lunch.Behavior during time out:,
32,ASSS_SI_01_Part9,Time Out Room Log,Date: 10/18/17,Time exited:,Date: 10/18/17,Physical restraint - moved to time out.Behavior during time out:Behavior upon exiting:,
33,ASSS_SI_02_Part1,Time Out Room Log,Date: 10/19/17,Time exited:,Date: 10/19/17,,
34,ASSS_SI_02_Part10,Time Out Room Log,Date: 10/24/17,Time entered: 9:16,Time exited: 9.57a,AT THE END OF THE DAY. HE THREW HIS CRAIR Across THETHE CELL PHONE HAS BEEN AN ISSUE. foor TOWARDSWAS TXD IT WOULD BE RETURNED,
35,ASSS_SI_02_Part11,Time Out Room Log,Date: 10/24/17,Time exited:,Date: 10/24/17,,
36,ASSS_SI_02_Part12,Time Out Room Log,10-24-17,Time exited:,Date:,,
37,ASSS_SI_02_Part13,Time Out Room Log,Date: 10/3/17,Time entered: 9:00,Time exited: 9:45,"was directed to follow morning routine. prompts,visual cues, reminders of expectations / reward's given.became angry When other students completed routine",
38,ASSS_SI_02_Part14,Time Out Room Log,Date: 10/26/17,Time entered: 10:05,10:40,,
39,ASSS_SI_02_Part15,Time Out Room Log,Date: 10/31/17,,1115,"did not want to participate in anythe activity opposite asked of of what him was this asked morning, ojhum In 4poga He / went to breakromescalated to doing",
40,ASSS_SI_02_Part16,Time Out Room Log,,,,"Asked for a break (in , granted , Left the room beganto usunder, became increasingly upset ran away fromstaff toward",
41,ASSS_SI_02_Part17,Time Out Room Log,Date: 10/27/17,Time entered: 9:10,,"out control, and slamming hiswas restrained in the hallway. Once calm weroom to do LSI",
42,ASSS_SI_02_Part18,Time Out Room Log,,,,un Safe behavior in class. Pishing deskinto another another student's chair).Behavior during time out,
43,ASSS_SI_02_Part19,Time Out Room Log,10/20/17,Time entered: 11:05am,Time exited: 11is5am,Behavior during time out:Behavior upon exiting:Bouncy,
44,ASSS_SI_02_Part2,Time Out Room Log,Date: 10/19/17,,Date: 10/19/17,Behavior during time out:Behavior upon exiting:Guiet,
45,ASSS_SI_02_Part20,Time Out Room Log,10/24/17,Time exited:,Approx 11:00km,Attempts to put himself in dinger of Falling.Behavior during time out:Behavior upon exiting:,
46,ASSS_SI_02_Part21,Time Out Room Log,Date: 11/1/17,Time entered: 11:25 an,Time exited: 11:35,Didn't eam all of his EA time.Overtunned desk w/ items on topBehavior during time out:,
47,ASSS_SI_02_Part22,Time Out Room Log,Date: VL 11/29/17,Time exited:,10:55,refused to leave the building duringfire errillBehavior during time out:,
48,ASSS_SI_02_Part23,Time Out Room Log,11/29/17,Time entered: 9:30,Time exited: 9:50,left classroom with out permission. picked up. fire extinguisherand threatened verbally to hit staff with it. Flipped chairsand kicked staff.,
49,ASSS_SI_02_Part24,Time Out Room Log,11/9/17,8:35,Time exited: 9:00,was told it was this time forOLA. He refused to work and began swearing atstaff. Hethen left the Nom unsupervised.,
50,ASSS_SI_02_Part25,Time Out Room Log,Date: 11/9/17,Date: 11/9/17,Time exited: 2:00,,
51,ASSS_SI_02_Part26,Time Out Room Log,11/14/17,Time entered: 10:00,Time exited: 10:15,was asked to completeRULAHS from ELA. Herefised and threwhs notebuskt Papers,
52,ASSS_SI_02_Part27,Time Out Room Log,Date: 11/14/17,Time entered: 8:30,Time exited: 8:40,,
53,ASSS_SI_02_Part28,Time Out Room Log,Date: 11/16/17,"Time entered: 8 :55""",Time exited: 9:14,came back from Ameay .attempted to fight studentBehavior during time out:,
54,ASSS_SI_02_Part29,Time Out Room Log,11/21/17,Time entered: 11:17,Time exited: 12:03,,
55,ASSS_SI_02_Part3,Time Out Room Log,10/26,Time exited:,Date:,Walked out of classBehavior upon exiting:Behavior during time out:,
56,ASSS_SI_02_Part30,Time Out Room Log,Date: 11/21/17,Time entered: 12:07,dismissal,"Walked out of reflection room, swearing at staffBehavior during time out:Behavior upon exiting:",
57,ASSS_SI_02_Part31,Time Out Room Log,Date: 11/27/17,Time entered: 01-18-1:00,Time exited: 2100,"of reinforcement, continued to swear Then ""askedwork, and began swearing at staff. When remindrefused to sit and complete",
58,ASSS_SI_02_Part32,Time Out Room Log,Date: 11-13-17,Time entered: 8:33am,Time exited: 8:4zan,"wanted to have early social nonk, but thenchanged his mind and wanted social work at hisScheduled time.",
59,ASSS_SI_02_Part33,Time Out Room Log,Date: 11/1/17,Time exited:,Date: 11/1/17,,
60,ASSS_SI_02_Part34,Time Out Room Log,Date: 11/4/17,Time entered: 8:20,Time exited: 8:34,refused to go to class and was running through thebuildingBehavior upon exiting:,
61,ASSS_SI_02_Part35,Time Out Room Log,Date: 11/14/17,Date: 11/14/17,Time exited: 8:45,"was Asked to do work, would not, left roomBehavior during time out:Behavior upon exiting:",
62,ASSS_SI_02_Part36,Time Out Room Log,Date: 11/14/17,Time entered: 9:10 am,Time exited: 9'35,activities. He took a staff chair and began sliding it aroundbegan yelling and refusing to participate in sciencethe classroom. staff attempted to redirect and offs additional,
63,ASSS_SI_02_Part37,Time Out Room Log,11/15/17,10:15,Time exited: 10:30,was asked to complete hidArt work in the hallway at he was too dispraptiveto be in class. He did not follow these directions,
64,ASSS_SI_02_Part4,Time Out Room Log,10/26,1:50,Date:,,
65,ASSS_SI_02_Part5,Time Out Room Log,Date: 10/24/17,Time exited:,Date: 10/24/17,"Negative attention seeking behaviors, escalated to knockingover furniture.Behavior upon exiting:",
66,ASSS_SI_02_Part6,Time Out Room Log,,,,ASKED TO FORM HIS CAPITAL LETTERS BETTER;BECAME VERYUPSET; ASKED TO CHANGE A p' TO LUNER CASE;,
67,ASSS_SI_02_Part7,Time Out Room Log,,,,"EXTREME DISRESPECT; INSTIGATING PEERS; BREAKING OTHER PEOPLE'SPENCILS; THREATENING TEACHER TWICE TO STAB PENCIL IN HIS EYGiTHRGN BROKEN PENCIL ACROSS CLASSRORM,",
68,ASSS_SI_02_Part8,Time Out Room Log,,,,"WAS UPSET ABOUT HIS WORK, HIS PEERS ck STAFF HEWAS INSTRUCTED TD MOVE HIS DESK AWAY FROM THE TEACHER'S DESKDD PREVENT HIM From TRASHING IT. He FLIPPED HIS DESK AND RAN",
69,ASSS_SI_02_Part9,Time Out Room Log,Time entered:,Time exited:,10-23-17,NOT FOLLOWING DIRECTIONS AND PRESENTED UNSAFE BEHAVIORS- THROWING SHARPOBJECTS.Behavior:during time out:,
70,ASSS_SI_03_Part1,Time Out Room Log,Date: 11/16/17,Time entered: 8:10,Time exited: 8:20,"Not, willBehavior during time out:Behavior upon exiting:",
71,ASSS_SI_03_Part10,Time Out Room Log,11/15/17,8:45,Time exited: 8.55,xbegan to swear at Coachand attempted to leave gym . Attempted to hit Coack,
72,ASSS_SI_03_Part11,Time Out Room Log,Date: 11/29/17,Time exited: 1:00,Time exited: 1:00,,
73,ASSS_SI_03_Part12,Time Out Room Log,11-2-17,Time exited:,Date:,,
74,ASSS_SI_03_Part13,Time Out Room Log,Date: 11-8-17,Time exited:,Date: 11-8-17,It WELL snack time. ageWAS crying about not wanting told himNo problem. 2 mins Later,
75,ASSS_SI_03_Part14,Time Out Room Log,Date: 11-13-17,Time entered: 9:17,Time exited: 9:35,was asked to begin his math assignment.Behavior upon exiting:Behavior during time out:,
76,ASSS_SI_03_Part15,Time Out Room Log,Date: 11-21-17,9:00,Time exited: 9:10,Walking back from Art class mith apainting. - it ripped (Part-drived To 11 )Behavior during time out:,
77,ASSS_SI_03_Part16,Time Out Room Log,Date: 11-21-11,Time entered: 11:10,Staff person supervising student during time out:,"student was directed to do an assignment.Student threw pen, AT teacher's face.It hit",
78,ASSS_SI_03_Part17,Time Out Room Log,11-28-17,9:20,Time exited: 9:40,While donny Brain gumthrew his head phones across the RoomBehavior during time out:,
79,ASSS_SI_03_Part18,Time Out Room Log,Date: 11-14-17,11:46,Time exited: 11:58,Student was asked to eat lunchBehavior during time out:Behavior upon exiting:,
80,ASSS_SI_03_Part19,Time Out Room Log,Date: 11-16-17,Time entered: 12:59,Time entered: 12:59,Writing assignment vas given to student.behaviour(student put himself there with one prompt to use his strategy),
81,ASSS_SI_03_Part2,Time Out Room Log,11/16/17,,Date:,"swearing and yelling at other students, got in anotherstudents face Ran out of the room.Behavior during timé out:",
82,ASSS_SI_03_Part20,Time Out Room Log,Date: 11/20/17,Time entered: 9:07,Time exited: 9:17,"math and he threw everythingon the floor, including water bottle. - He was directect to T.C.He walked over and sati in T.O.",
83,ASSS_SI_03_Part21,Time Out Room Log,Date: 11-30-17,Time exited:,10:30,was told he would have his speech session As a push In groupin the classroom.SEIF selected to go in to the Timsout Room.,
84,ASSS_SI_03_Part22,Time Out Room Log,Date: 11/20/17,Time entered: 8:40 an,Time exited: 8:50,work. He in the AWL room and threwdleft being told to complete morningitems,
85,ASSS_SI_03_Part23,Time Out Room Log,Date: 11/21/17,Time entered: 11:45,Time exited: 12:05,,
86,ASSS_SI_03_Part24,Time Out Room Log,Date: 11-12-17,Time entered: 12:2e pron,Date: 11-12-17,"Slamming a door while another student was nalkingthrough. Fighting with another student (pushing, poking).Behavior during time out:",
87,ASSS_SI_03_Part25,Time Out Room Log,Date: 11-16-17,Date: 11-16-17,Time exited: 12:40,,
88,ASSS_SI_03_Part26,Time Out Room Log,11/9/17,Time exited:,12:25,"disturbing learning of others,Behavior during time out:Behavior upon exiting:",
89,ASSS_SI_03_Part27,Time Out Room Log,11/14/17,,Date:,walking w/ eyes closed to flopping on floor infront of staff; yellingBehavior during time out:,
90,ASSS_SI_03_Part28,Time Out Room Log,Time entered:,Time exited:,11/8/17,"that space, off the table. cuses Team member out. called K and he walkedwas agritated ite proceeded talking about to punch calley till police, cabinet, microwave put him inaminay 4 toTime",
91,ASSS_SI_03_Part29,Time Out Room Log,11/9/17,,Date:,"action carsious in the class , bayin thewindow andbor- cresis calledBehavior during time out:",
92,ASSS_SI_03_Part3,Time Out Room Log,Date: 11/2/17,Time entered: 11:20,Time exited: 12:00,"Student would not leave office, was going through paper work anddrawers. Student was spraying staff with body spray , using treatening language.Behavior during time out:",
93,ASSS_SI_03_Part30,Time Out Room Log,Date: 11/28/17,Time exited:,10:00,stumbling. Continued throughout morning routine. During lunchcount sub accidently called him wrong nameBehavior during time out:,
94,ASSS_SI_03_Part31,Time Out Room Log,Date: 11/29/17,Time entered: 8.,Time exited: 9:45AM,,
95,ASSS_SI_03_Part32,Time Out Room Log,11/30/17,Time exited:,9:30,"Came off bus looking for attention - setting on 5 acting,to engage w/guys. Laid down on floor when I gave directive to head Bertenlytoying",
96,ASSS_SI_03_Part33,Time Out Room Log,Date: 11/27/17,Time exited:,1:15,"broke something. He escalated, throwingthings at staff. Floaters were called. .Behavior during time out:",
97,ASSS_SI_03_Part34,Time Out Room Log,Time entered:,9:00,11-27-17,"follow Plan, came back + threw L.E. lab materials aroundrefused to go to ALE. Refused tothe room",
98,ASSS_SI_03_Part35,Time Out Room Log,1 :00/1:05 ask Zach tust,Time exited:,Date:,,
99,ASSS_SI_03_Part36,Time Out Room Log,Time entered:,11/03/2017,10:45,was told he could not have a specific classroom toy at play time. It was not a choice offered.began punching/kicking. He threwhis shoe. he hit teacher with the shoe.,
100,ASSS_SI_03_Part37,Time Out Room Log,11:30,AM,Date:,was told he could not walk down to get his lunch until he followed directions. He was told to follow routine of washing his hands.began punching/kicking. He threw a chair at another student. He hit teacher and kicked teacher. He ripped books. Other studentsremoved from classroom and ate lunch in the conference room.,
101,ASSS_SI_03_Part38,Time Out Room Log,Time entered:,AM,11/03/2017,was told that he had to follow directions during transition to PE. He was not first in line. He attempted to run out of the classroom.began punching/kicking. He hit teacher and kicked teacher.Behavior during time out:,
102,ASSS_SI_03_Part39,Time Out Room Log,Date: 11/14/17,10:05,10:15,"was calling out 50 given a "" I' il as avisual reminder to not call out and raise a quiet hand. He immediatelyscreamed at staff, flipped his desk, then flipped his chair. Walked to",
103,ASSS_SI_03_Part4,Time Out Room Log,11/2/17,Time entered: 1:05,1:15,"was having a dis agreement with a classmatina game,The disagreement lead to vetbal threatening at which point",
104,ASSS_SI_03_Part40,Time Out Room Log,Date: 11.6.17,,Time exited: 8:514,screaming inappropriate words with others Very disrespectfulto other students. Not following DirectionsJust got meds at 8:35 AM,
105,ASSS_SI_03_Part41,Time Out Room Log,Date: 11.7.17,Time entered: 12:38,2:10,"to Students, Running out of Class andiv hallway,Just of his meds atlass",
106,ASSS_SI_03_Part42,Time Out Room Log,Date: 11-29-17,Time entered: 11:35am,Time exited: 12:00pm,"was having a difficult fire staply Acontrol of his Body and Nas beginniz to become agate. When he exitalthe first tohe he started V immediately and reented to calm dam,",
107,ASSS_SI_03_Part43,Time Out Room Log,Time entered:,Time exited:,11/8/2017,shat down as a result of Maving ta do workhe refused to do the day before (during a scheduled time) during his earn timetoday He threw his deak over 9 his chair 4 then was removed from the,
108,ASSS_SI_03_Part45,Time Out Room Log,Time entered:,Time exited:,11/8/2017,,
109,ASSS_SI_03_Part5,Time Out Room Log,Date: 11/17/17,Time entered: 10:00,"Time exited: 10:20,",ask to take a walk he ran fromstaff into the gym and refused to leaveBehavior upon exiting:,
110,ASSS_SI_03_Part6,Time Out Room Log,Date: 11/27/17,Time entered: 10:30,Time exited: 10:35,"ask for his Cerplicit)when prompted 10 ask appropriately.to swear. He then stood up threw computer, picked and",
111,ASSS_SI_03_Part7,Time Out Room Log,11/15/17,10:00,Time exited: 10:20,refused to complete workThe Then swearing.Behavior upon exiting:,
112,ASSS_SI_03_Part8,Time Out Room Log,Date: 11/20/17,,,,
113,ASSS_SI_03_Part9,Time Out Room Log,Date: 11/29/17,1:30,1:40,"mayneur swore atstaff, threw objects ndid not want oparticupate in readergacturitythrew objects at Staffi",
114,ASSS_SI_04_Part1,Time Out Room Log,Date: 11/10/17,Time exited:,10:34,"to Matterdidnut completed want to his do Math, spelling he and wanted was to recordingGeorge name plate was given off the his ptwn desic to took draw one during tolde free th and Time. ripped",
115,ASSS_SI_04_Part10,Time Out Room Log,Date: 11-6-17,Time exited:,10:48,"DIDN'T LIKE THE ASSIGNMENT, REFUSED TO FollowDIRECTIONS, YELLING DISREPPETFUL THING, SLAMMING HIS PENCIL REPEATEDLY ONHIS DESK, THREW Two CHAIRS, BROKE HIS PENCIL AND THREW IT AND FLIPPES HIS",
116,ASSS_SI_04_Part11,Time Out Room Log,Time entered:,11/01/2017,10:10,"entered the classroom, following routine. He asked to use the electic pencil sharperer and was told that was only for adult use. He kickedthrew a chair toward another student and rolled under the table. was able to redirect with proximity support, remindersof rewards and review of the activities of the day.",
117,ASSS_SI_04_Part12,Time Out Room Log,Date: 11/7/17,Time exited:,Date: 11/7/17,"was daning, a difficult time completing yoga andwhen asked to finish the star pose heand trying to hide under furniture He was taken to the T.O. roor.",
118,ASSS_SI_04_Part13,Time Out Room Log,11/7/17,10:21,10:30,As per attached T.O. room logBehavior during time out:Behavior upon exiting:,
119,ASSS_SI_04_Part14,Time Out Room Log,Date: 11/13/17,Time entered: 9:45,Time exited: 11:25,"was given a turkey sticker, it was put on theworkslueet he had just completed,took the sticker offhis paper",
120,ASSS_SI_04_Part15,Time Out Room Log,08:45,AM,Date:,was asked if he wanted waffles or pancakes for breakfast. He chose waffles. He was then asked if he wanted choc. or white milk. Hedemanded Strawberry. Strawberry is not an available choice. He was given a list of alternatives. Screaming at staff and standing on the table hedemanded strawberry. He escalated to charging the door.,
121,ASSS_SI_04_Part16,Time Out Room Log,Time entered:,11/15/2017,Time exited: 1030,"entered the classroom from the breakroom. Complied with directions of putting his shoes on. He was asked to sit at another table for hisbreakfast( Literacy group was starting). He was angry syrup was not yet on his tray. I told him I needed to warm his waffles and then he couldhave syrup. He screamed that he wanted syrup NOW! table flew, chair tipped backwards, and he threw classroom center activities.",
122,ASSS_SI_04_Part17,Time Out Room Log,Time entered:,Time exited:,11/15/2017,"feturned from Social Work time, as soon as a demand was placed on him to begin making up some of the work he missed in the morning, hebegan yelling and became physically aggressive.Behavior during time out:",
123,ASSS_SI_04_Part18,Time Out Room Log,Date: 11/20/17,:00,1:20,"-was ""sent backto the line"", which WOLD part of the game - Iu became angry and",
124,ASSS_SI_04_Part19,Time Out Room Log,Date: 11/21,Time exited:,Date: 11/21,"wouldn't stell his name correctly on his morning horle, and followingthis issuehad a up hard time following simple direction and became proct",
125,ASSS_SI_04_Part2,Time Out Room Log,Time entered;,,11/20/17,was upset Ke missed craft - cooking note mt Yfish tank the room.being in school in on Friday He was refund also upset to clo that morning there work and the wasa,
126,ASSS_SI_04_Part20,Time Out Room Log,Date: 11/29/17,9:40m,Time exited: 9155am,"blocked,had attented to 101 from the building and wasMS then able to take a break in time out, He has",
127,ASSS_SI_04_Part21,Time Out Room Log,Date: 11/21217,Time entered: 10115am,10:25cm,tks upst again and attempted to funfrom the building and needed assistance into time out to M/Mhimself down.,
128,ASSS_SI_04_Part22,Time Out Room Log,11.8-17,115pm.,Time exited: 2:05,"EXTREME DISRESPECT, DISRESPECTFUL, AND SHOVING CHAIRSBehavior during time out:Behavior upon exiting:",
129,ASSS_SI_04_Part23,Time Out Room Log,Time entered:,Time exited:,11/15/17,DOthechair,
130,ASSS_SI_04_Part24,Time Out Room Log,Date: 11/8/17,Time exited:,10:00,"room had visenanxiety escalated quickly, he jumped up,ran to the front of the room, ran back to his seat and flipped",
131,ASSS_SI_04_Part25,Time Out Room Log,11/01/2017,10:05,1:00,came into school very moody and disgruntled. He did not want to talk to staff. He did his morning work and we headed to art.was very unhappy looking and he got up and left art. He went into the hall and started kicking doors and slamming the garbagecan into the walls and doors. When,
132,ASSS_SI_04_Part26,Time Out Room Log,Date: 11/02/2017,8:56,9:38,Student was in an angry mood. After transitioning to Music class he began kicking furniture. He was removed and brought toclassroom. He began throwing materials. The student was then removed to the time out room.Behavior during time out:,
133,ASSS_SI_04_Part27,Time Out Room Log,Date: 11/03/2017,8:15,8:23,"Came in upset from the bus. Became more angry because he didn't finish his homework, and wouldn't have his first earned rewardtime. He threw materials and attempted to elope from the class and then from the building.Behavion during time out:",
134,ASSS_SI_04_Part28,Time Out Room Log,11/09/2017,11:35,11:43,was unsafe when putting away free time materials. He was told that he would not be able to use them again. He became veryangry and started throwing work materials.Behavior during time out:,
135,ASSS_SI_04_Part29,Time Out Room Log,Time entered:,Time exited:,11/20/2017,"was counting money for math. He was clearly becoming frustrated with it. Staff directed him to please take a break. Hesaid,""Fine!"" He threw his materials and stomped out to the break room. Staff followed him out. He started slamming to door overand over.",
136,ASSS_SI_04_Part3,Time Out Room Log,Date: 11/20/2017,Time exited:,Date: 11/20/2017,,
137,ASSS_SI_04_Part30,Time Out Room Log,Time entered:,Time exited:,11/27/2017,Student became frustrated during math. He was asked to take a break. Instead of taking a break he threw his pencil. Student thenapproached teacher with clenched fists and stood extremely close. Teacher escorted him out the room.Behavior during time out:,
138,ASSS_SI_04_Part31,Time Out Room Log,11/30/2017,9:39,10:09,"Student was angry that he received consequences for disrespectful behavior. Staff person talked to him, and explained why hereceived them, and tried to calm him down. During his AM job he started throwing materials (clearly not calmed down), tried tearing abook in half and raised his fist toward teacher.",
139,ASSS_SI_04_Part32,Time Out Room Log,Date: 12/1/17,Time exited:,10:20,"In AWLhid in the closet, ran around the classroom, stood ona chair. When expectations were stated,",
140,ASSS_SI_04_Part33,Time Out Room Log,12/20/2017,1:00,Time exited: 1:53,In gym class students were playing jail break.Coach taggedat which point,
141,ASSS_SI_04_Part34,Time Out Room Log,12/1/17,10:30,,"refused to work, punched walls+ used proforitywas working inthe reflection room. HeBehavior during time out:",
142,ASSS_SI_04_Part35,Time Out Room Log,Date: 12/1/17,Time entered: 9:49,Time exited: 10:06,"Student was instructed to go from price TO to AWL work, on wayto AWL student refused to go in, went in then walked out, washitting walks in hallway and yelling was propertied prompted to go back to they AWL",
143,ASSS_SI_04_Part36,Time Out Room Log,Date: 12/6/17,Time entered:/1:39,Time exited: 12:14,"Disrupting class by banging on desk, ROD flipping desk and chairs,Knocking stuff off deskBehavior during time out:",
144,ASSS_SI_04_Part37,Time Out Room Log,Date: 12/1/11,Time exited:,Date: 12/1/11,"asked to use the computer, He wastold he did not earn computer time. He began running inbetween the classrooms on the third floor. He was conselled",
145,ASSS_SI_04_Part38,Time Out Room Log,Date: 17/4/17,Time entered: 9:35,Time exited: 11:02,work. He began swear hs appeared whenrefused to completer morningassistance was Ca of be verbally,
146,ASSS_SI_04_Part39,Time Out Room Log,Date: 12/5/17,Time entered: 9:11,Time exited: 930,,
147,ASSS_SI_04_Part4,Time Out Room Log,Time entered:,Time exited:,11/29/2017,"got all the bus in a bit of a modd when hebusk refusing to work. Stall treseal to joke with him took him for a walk, hefound out that the Docial worker was absent be put his head down on the",
148,ASSS_SI_04_Part40,Time Out Room Log,Date: 2/15/17,Time entered: 1:25,1.55,,
149,ASSS_SI_04_Part41,Time Out Room Log,12/5/17,Time entered: 10:03,Time exited: 10:14,,
150,ASSS_SI_04_Part42,Time Out Room Log,Date: 12/12/17,Time entered: 11:27,Time exited: 1:30,"began was in computer lab due somedownnorm.block door, threatened staff",
151,ASSS_SI_04_Part43,Time Out Room Log,Date: 12-1-17,Time entered: 10:40,11:20,Throwing a book at staff.Behavior during time out:Behavior upon exiting:,
152,ASSS_SI_04_Part44,Time Out Room Log,Date: 12-1-17,11:45,Time exited: 11:55,(Sul- directed) After eating lunch in the classroomwent back into T.O.Behavior during time out:,
153,ASSS_SI_04_Part45,Time Out Room Log,Time entered:,Time exited:,12-1-17,threw his head phones At A peerastaff,
154,ASSS_SI_04_Part5,Time Out Room Log,Time entered:,Time exited:,11/01/2017,"vas outside and started breaking sticks and throwing them at the other students, staff said that it was time for everyone togo inside andtashed out at teachers. He broke off a long, thick stick and was trying to hit/stab staff with it, staff was able to",
155,ASSS_SI_04_Part6,Time Out Room Log,Date: 11/8/17,"Time entered: 11:05,",Time exited: 11:35,"wasnot following directions. After several redirections , he Hirew his work onHu floor, threw colored pencils at another student at the table, then",
156,ASSS_SI_04_Part7,Time Out Room Log,Date: 11/28,9:15,Time exited: 9:30,"was given a ""reminder V"" to remember to raise a quiethand and not call out. As soon as he was visually reminded, he crawledunder the table. When the behavior was ignored, he proceeded to crawol around",
157,ASSS_SI_04_Part8,Time Out Room Log,11/28,9:50,10:50,"directions during YOGA group. He got angry when another studentwas having a difficult time followingwaschosen to do a pose before him went back to his cubby to lit,",
158,ASSS_SI_04_Part9,Time Out Room Log,Time entered:,Time exited:,11-1-17,WAS RESTRIINED FOR PUNCHING HIS TEACHERIN THE FACE.I,
159,ASSS_SI_05_Part1,Time Out Room Log,Date: 10/19/17,Time exited:,Date: 10/19/17,,
160,ASSS_SI_05_Part10,Time Out Room Log,Date: 10/24/17,Time entered: 9:16,Time exited: 9.57a,AT THE END OF THE DAY. HE THREW HIS CRAIR Across THETHE CELL PHONE HAS BEEN AN ISSUE. foor TOWARDSWAS TXD IT WOULD BE RETURNED,
