,id,school_building,date,restraint_began,restraint_end,seclusion_start,seclusion_end,restraint_type,doc_type,description
20,COH_RISI_01_Part28,School: Harmany HillIncident Description,Date of Incident: 1/12/14,Time restraint began: 10:40,Time restraint ended: 10:45,Time seclusion began: 10:45,Time seclusion ended: 11:00,,CPI Physical Restraint and/or Seclusion Incident Report,"student began shouting "" Fuck you, Fuck you, screw"
21,COH_RISI_01_Part29,School: HHIncident Description,,Time restraint began: 12:25,Time restraint ended: 12:30,Time seclusion ended:,Location of Incident:,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,
22,COH_RISI_01_Part3,School: Harmony HillIncident Description,Date of Incident: 5/26/16,Time restraint began: 12:20,Time restraint ended: 12:25,Time seclusion ended:,Location of Incident:,Children's control position,,After threatening staff began hitting (punching and
23,COH_RISI_01_Part30,School: H.H.Incident Description,1/8/16,Time restraint began: 8:40,Time restraint ended: 8:46,8:46,Time seclusion ended: 8:58,in cafeteria,,"While in the breakfast line,"
24,COH_RISI_01_Part31,School: Harmony HillIncident Description,Date of Incident: 1/12/16,Time restraint began: 11:07,Time restraint ended: 11:10,Time seclusion began: 11:10,Time seclusion ended: 11:20,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,"Shelf over, throwing objects, screaming, trying to bite"
25,COH_RISI_01_Part32,School:HH,1/13,Time restraint began: 12:39,Time restraint ended: 12:40,Time seclusion began: 12:40,Location of Incident:,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,took the materials on
26,COH_RISI_01_Part33,School: Harmony HillIncident Description,Date of Incident: 1/19/16,Time restraint began: 9:27,Time restraint ended: 9:32,Time seclusion ended:,Location of Incident:,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,Dangerous behavior on carpet - swinging Stool around
27,COH_RISI_01_Part34,School:HH,1/20/16,12:05,Time restraint ended: 12:55,Time seclusion ended:,Location of Incident:,transport from hallway to,CPI Physical Restraint and/or Seclusion Incident Report,ran from teachers in cafeteria.
28,COH_RISI_01_Part35,School:HH,1/22,Time restraint began: 11: 25,Time restraint ended: 11:30,Time seclusion ended:,Location of Incident:,in T.A,,went after a student. When a teacher intervened
29,COH_RISI_01_Part36,School: Harmony HillIncident Description,Date of Incident: 1/22/16,Time restraint began: 12:47,Time restraint ended: 12:50,Time seclusion began: 12:50,Time seclusion ended: 1:15,Children's control position,CPI Physical Restraint and/or Seclusion Incident Reporty,was punching
30,COH_RISI_01_Part4,School:HH,5/9/16,Time restraint began: 12:53,Time restraint ended: 12:56,Time seclusion began: 12:56,I:11,,CPI Physical Restraint and/or Seclusion Incident Report,threw the game pieces & screamed at the teacher.
31,COH_RISI_01_Part5,School: Harmony HillIncident Description,Date of Incident: 4/13/16,Time restraint began: 8:57,Time restraint ended: 8:57,Time seclusion began: 8:57,Time seclusion ended: 4:10,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,threw a pair of scissors and threatened
32,COH_RISI_01_Part6,School:HH,4/11/16,,Time restraint ended: 11:37,Time seclusion began: 11:37,Time seclusion ended: 11:50,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,When staff walked away Nadia threw a wooden toy aimed at
33,COH_RISI_01_Part7,School: Harmany HillIncident,Date of Incident: 4/11/16,Time restraint began: 12:39,Time restraint ended: 12:40,Time seclusion began: 12:40,Time seclusion ended: 12:56,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,at teacher with a closed fist and trying
34,COH_RISI_01_Part8,School: Harmony HillIncident Description,Date of Incident: 4/8/16,Time restraint began: 8:50,Time restraint ended: 8:52,Time seclusion began: 8:52,Time seclusion ended: 8917,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,Teacher asked whats wrong how was your
35,COH_RISI_01_Part9,School: Harmony HillIncident Description,Date of Incident: 4/1/16,Time restraint began: 10:14,Time restraint ended: 10:15,Time seclusion began: 10:15,Time seclusion ended: 10:25,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,Staff members went over to Nadia to give
36,COH_RISI_02_Part1,School: HHIncident Description,1/22/116,Time restraint began: 12:25,Time restraint ended: 12:35,Time seclusion ended:,Location of Incident:,in T.A.,CPI Physical Restraint and/or Seclusion Incident Report,went under a table and was grabbing at a student. when
37,COH_RISI_02_Part10,School: HHIncident Description,,Time restraint began: 9:38,Time restraint ended: 9:40,Time seclusion began: 9:40,Time seclusion ended: 10:00,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,"Punch, kick, pite the students & staff around"
38,COH_RISI_02_Part11,School: H.HIncident Description,Date of Incident: 2/26/16,Time restraint began: 9:48,Time restraint ended: 9:50,Time seclusion began: 9:50,Time seclusion ended: 10:05,Children's control position,CPI Physical Restraint and/or Seclusion Incident Reporti,When staff helped
39,COH_RISI_02_Part12,School: HHIncident Description,Date of Incident: 2/26/16,Time restraint began: 12:14,Time restraint ended: 12:16,Time seclusion began: 12:16,Time seclusion ended: 12:22,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,threw things off oof a desk and tipped over chairs.
40,COH_RISI_02_Part13,School: HHIncident Description,Date of Incident: 2/26/16,Time restraint began: 2:00,Time restraint ended: 2:20,Time seclusion ended:,Location of Incident:,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,star ted flipping chairs over and kicking staff.
41,COH_RISI_02_Part14,School: HHIncident Description,3/1,Time restraint began: 12:00,Time restraint ended: 12:12,Time seclusion began: 12:12,Time seclusion ended: 12:20,,CPI Physical Restraint and/or Seclusion Incident Report,began running around the cafeteria. kicked two students
42,COH_RISI_02_Part15,School: HHIncident Description,3/14/16,Time restraint began: 12:34,12:35,Time seclusion began: 12:35,Time seclusion ended: 12:55,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,"After cleaning,"
43,COH_RISI_02_Part16,School: HHIncident Description,3/9/16,Time restraint ended:,Seclusion utilized?,Time seclusion began: 10:50,Time seclusion ended: 10:55,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,threw a chair. when teacher tried to talk with
44,COH_RISI_02_Part17,School: Harmany HillIncident Description,Date of Incident: 3/3/16,Time restraint began: 11:05,Time restraint ended: 11:35,Time seclusion ended:,Location of Incident:,Seated,CPI Physical Restraint and/or Seclusion Incident Report,Ran from and I in the hall and then came
45,COH_RISI_02_Part18,School: Harmany HillIncident Description,Date of Incident: 3/3/1C,Time restraint began: 12:00,Time restraint ended: 12:20,Time seclusion ended:,Location of Incident:,,CPI Physical Restraint and/or Seclusion Incident Report,When teacher asked why ran began hitting teacher d
46,COH_RISI_02_Part19,School: HHIncident Description,Date of Incident: 3/7/16,Time restraint ended:,Seclusion utilized?,Time seclusion began: 12:40,Time seclusion ended: :05,to be,CPI Physical Restraint and/or Seclusion Incident Report,on
47,COH_RISI_02_Part2,School:HH,Date of Incident: 1/25,Time restraint began: 9:35,Time restraint ended: 9:36,Time seclusion began: 9:36,Time seclusion ended: 9:55,words.,CPI Physical Restraint and/or Seclusion Incident Report,A
48,COH_RISI_02_Part20,School: Harmany HillIncident Description transport,Date of Incident: 3/4,Time restraint ended:,door,Time seclusion began: 9:47,Time seclusion ended: 10:15,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,Nonviolent Physical Crisis Intervention(s) (NPCI) used:
49,COH_RISI_02_Part21,School: Harmony HillIncident Description,Date of Incident: 3/17/16,Time restraint began: 1:11,Time restraint ended: 1:12,Time seclusion began: 1:12,Time seclusion ended: 1:35,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,When teachers tried to ask
50,COH_RISI_02_Part22,School:HH,Date of Incident: 3/17/16,Time restraint began: 12:15,Time restraint ended: 12:15,Time seclusion began: 12:15,Time seclusion ended: 12:26,sneakers & tried child's position,CPI Physical Restraint and/or Seclusion Incident Report,hit a Student with a toy. € Teacher to Id
51,COH_RISI_02_Part23,School: Harmony HillIncident Description,Date of Incident: 3/15/16,8:54,8:55,Time seclusion began: 8:55,Time seclusion ended: 9:15,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,punched a teacher and tried to bite.
52,COH_RISI_02_Part24,School: Harmony HillIncident Description,Date of Incident: 3/17/16,9:26,Time restraint ended: 9:27,Time seclusion began: 9:27,Time seclusion ended: 9:43,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,Teachers stopped
53,COH_RISI_02_Part25,School: Harmony HillIncident Description,Date of Incident: 3/24/16,Time restraint began: 11:39,Time restraint ended: 11:40,Time seclusion began: 11:40,Time seclusion ended: 11:55,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,pushed a student out of
54,COH_RISI_02_Part26,School: HHIncident Description,Date of Incident: 3/21/16,9:29,Time restraint ended: 9:30,Time seclusion began: 9:30,Time seclusion ended: 9:35,Children's control position,,began crawling around the room Miss
55,COH_RISI_02_Part27,School:HH,3/28/16,Time restraint began: 12:05,12:21,Time seclusion began: 12:21,Location of Incidenti,,CPI Physical Restraint and/or Seclusion Incident Report,
56,COH_RISI_02_Part28,School: Harmony HillIncident Description,Date of Incident: 3/28/16,Time restraint began: 10:03,Time restraint ended: 10:05,Time seclusion began: 10:05,Time seclusion ended: 10:15,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,tried to bite staff and then kicked them multiple
57,COH_RISI_02_Part29,School: Harmeny HillIncident Description,Date of Incident: 3/29/16,Time restraint began: 9:40,Time restraint ended: 9:41,Time seclusion began: 9:41,Time seclusion ended: 9:47,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,
58,COH_RISI_02_Part3,School:HH,Time restraint began: 1:10,Time restraint began: 1:10,Time restraint ended: 1:15,Time seclusion began: 1:15,Time seclusion ended: 1:40,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,Student ran away from teachers.
59,COH_RISI_02_Part30,School:HH,Date of Incident: 3/29/16,,,Time seclusion began: 12:10,Time seclusion ended: 12:21,,CPI Physical Restraint and/or Seclusion Incident Report,wouldn't more. When teacher helped
60,COH_RISI_02_Part31,School: Harmony HillIncident Description,Date of Incident: 3/30/16,Time restraint began: 9:15,Time restraint ended: 9:23,Time seclusion ended:,Location of Incident:,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,when
61,COH_RISI_02_Part32,School: HHIncident Description,3/31/16,Time restraint began: 10:34,Time restraint ended: 10:35,Time seclusion began: 10:35,Time seclusion ended: 10:50,walked in holding,CPI Physical Restraint and/or Seclusion Incident Report,began teasing another student. went after the
62,COH_RISI_02_Part33,School: Harmony HillIncident Description,Date of Incident: 3/31/16,Time restraint began: 11:36,Time restraint ended: 11:37,Time seclusion began: 11:37,Time seclusion ended: 11:50,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,Kicked and punch staff members.
63,COH_RISI_02_Part34,School: Harmony HillIncident Description,Date of Incident: 4/1/16,Time restraint began: 10:24,Time restraint ended: 10:25,Time seclusion began: 10:25,Time seclusion ended: 10:35,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,"pushed supplies off the tables , tipped over"
64,COH_RISI_02_Part35,School: Harmony HillIncident Description,Date of Incident: 4/5/16,Time restraint ended:,Seclusion utilized?,Time seclusion began: 10:35,Time seclusion ended: 10:55,,CPI Physical Restraint and/or Seclusion Incident Report,When
65,COH_RISI_02_Part36,School: Harmony HillIncident Description guided in with a hand,Date of Incident: 4/5/16,Time restraint began: 12:37,Time restraint ended: 12:37,Time seclusion began: 12:37,Location of Incident:,was walking,CPI Physical Restraint and/or Seclusion Incident Report,desk over Staff came over to tell
66,COH_RISI_02_Part4,School:HH,1/26/16,,12:11,Time seclusion began: 12:11,Time seclusion ended: 12:20,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,began Kicking another student and trying to hit
67,COH_RISI_02_Part5,School: Harmony HillIncident Description,Date of Incident: 1/29/16,Time restraint began: 2:35,Time restraint ended: 2:55,Time seclusion ended:,Location of Incident:,,CPI Physical Restraint and/or Seclusion Incident Report,unbuckling
68,COH_RISI_02_Part6,School: Harmony HillIncident Description,Date of Incident: 2/4/16,Time restraint began: 11:00,Time restraint ended: 11:35,Time seclusion ended:,Location of Incident:,Seated,CPI Physical Restraint and/or Seclusion Incident Report,and Punching Mr.
69,COH_RISI_02_Part7,School: Harmony HillIncident Description,Date of Incident: 2/5/16,9:29,Time restraint ended: 9:30,Time seclusion began: 9:30,Time seclusion ended: 9:50,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,threw objects out of
70,COH_RISI_02_Part8,School: Harmony HillIncident Description,Date of Incident: 2/5/16,Time restraint began: 1:04,Time restraint ended: 1:05,Time seclusion began: 1:05,Time seclusion ended: 1:23,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,"threw objects off of a student's desk, was kicking"
71,COH_RISI_02_Part9,School: Harmony HillIncident Description,Date of Incident: 2/23/16,Time restraint began: 8:59,Time restraint ended: 9:00,Time seclusion began: 9:00,"Time seclusion ended: 9:26 at 9:20,5tvd",Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,punch and
72,COH_RISI_03_Part1,School: Harmony HillIncident Description,Date of Incident: 4/6/16,Time restraint began: 12:05,Time restraint ended: 12:10,Time seclusion began: 12:10,Location of Incident:,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,When staff talked to about throwing food at
73,COH_RISI_03_Part10,School: HHIncident Description,,Time restraint began: 2:10,Time restraint ended: 2:20,Time seclusion began: 2:20,Time seclusion ended: 2:22,,CPI Physical Restraint and/or Seclusion Incident Report,went after a teacher with a raised fist. when
74,COH_RISI_03_Part11,School:HH,5/26/16,Time restraint ended:,Seclusion utilized?,Time seclusion began: 9:05,Time seclusion ended: 9:22,continued being aggressive,CPI Physical Restraint and/or Seclusion Incident Report,
75,COH_RISI_03_Part12,School: HH.Incident Description,Date of Incident: 5/24/16,12:00,Time restraint ended: 12:08,12:05,Time seclusion ended: 12:25,,,
76,COH_RISI_03_Part13,School: HHIncident Description,Date of Incident: 6/1/11,Time restraint ended:,Seclusion utilized?,9:50,Time seclusion ended: 10:10,Children's control position,,
77,COH_RISI_03_Part14,School: HHIncident Description,6/8/16,11:35,Time restraint ended: 11:38,Time seclusion began: 11:38,Time seclusion ended: 11:50,,,
78,COH_RISI_03_Part15,School:HH,Date of Incident: 4/8/16,12:10,Time restraint ended: 12:20,12:25,Time seclusion ended: 12:55,still fighting. tried kicking a,,
79,COH_RISI_03_Part16,School: Harmony HillIncident Description,Date of Incident: 6/13/16,Time restraint ended:,Seclusion utilized?,Time seclusion began: 2:15,Time seclusion ended: 2:25,Children's control position,,
80,COH_RISI_03_Part17,School: HHIncident Description,6/16/16,Time restraint ended:,Seclusion utilized?,Time seclusion began: 10:11,Time seclusion ended: 10:25,Children's control position,,
81,COH_RISI_03_Part18,School: HHIncident Description,6/16/16,Time restraint began: 12:01,Time restraint ended: 12:05,Time seclusion ended:,Transport utilized?,continued to be aggressive so,,
82,COH_RISI_03_Part19,School: HHIncident Description,6/17/16,Time restraint ended:,Seclusion utilized?,Time seclusion began: 12:32,Time seclusion ended: 12:40,Children's control position,,
83,COH_RISI_03_Part2,School: Harmony HillIncident Description,Date of Incident: 4/8/16,Time restraint ended:,Seclusion utilized?,Time seclusion ended:,Location of Incident:,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,When staff members stop
84,COH_RISI_03_Part3,School:HH,4/8/16,12:07,Time restraint ended: 12:15,Time seclusion began: 12:15,,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,walked into the building then flopped on the floor.
85,COH_RISI_03_Part4,School: Harmony HillIncident Description,Date of Incident: 4/12/16,Time restraint began: 11:09,Time restraint ended: 11:10,Time seclusion began: 11:10,Time seclusion ended: 11:20,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,When staff told
86,COH_RISI_03_Part5,School: Harmony HillIncident Description,Date of Incident: 4/11/16,Time restraint began: 12:58,Time restraint ended: 1:00,Time seclusion began: 1:00,Time seclusion ended: 1:20,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,was fooling around with the Time Away room
87,COH_RISI_03_Part6,School:HH,4/14/16,12:05,Time restraint ended: 12 : 10,12:10,Time seclusion ended: 12:50,They brought,,began yelling at ms
88,COH_RISI_03_Part7,School:HIt,Date of Incident: 4/18/16,Time restraint began: 12:15,Time restraint ended: 12 : 20,Time seclusion began: 12:20,Time seclusion ended: 12:33,Limits were set.,CPI Physical Restraint and/or Seclusion Incident Report,began trying to bite and Kick
89,COH_RISI_03_Part8,School: HHIncident Description,4/19/16,Time restraint began: 12:10,Time restraint ended: 12:20,Time seclusion began: 12:20,Time seclusion ended: 12:40,,CPI Physical Restraint and/or Seclusion Incident Report,wanted to go back to the classroom to get a toy.
90,COH_RISI_03_Part9,School:HH,Date of Incident: 4/19/11,Time restraint began: 8:55,Time restraint ended: 8:56,Time seclusion began: 8:56,Time seclusion ended: 9:20,wouldn't + was still kicking Limits,CPI Physical Restraint and/or Seclusion Incident Report,"shoved a classmate in the hallway ""because she"
91,COH_RISI_04_Part1,School:HH,3/11/16,Time restraint began: 1:02,Time restraint ended: 1:05,Time seclusion ended:,Location of Incident:,in,CPI Physical Restraint and/or Seclusion Incident Report,refused to go to
92,COH_RISI_04_Part10,School: Harmany HillIncident Description,Date of Incident: 2/24/16,Time restraint ended:,Seclusion utilized?,Time seclusion began: 9:25,Time seclusion ended: 9:30,walked in,CPI Physical Restraint and/or Seclusion Incident Report,the room
93,COH_RISI_04_Part11,School:HH,2/24,1:49,1:50,Time seclusion began: 1:50,Time seclusion ended: 2:00,Children's control position,,objects and lunging in peoples faces witnew
94,COH_RISI_04_Part12,School: Harmony HillIncident Description,,Time restraint began: 9:39,Time restraint ended: 9:40,Time seclusion began: 9:40,Time seclusion ended: 9:52,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,throwing classroom objects at
95,COH_RISI_04_Part13,School: Harmony HillIncident Description,Date of Incident: 1/25/2016,Time restraint began: 9:38,Time restraint ended: 9:40,Time seclusion began: 9:40,Time seclusion ended: 10:00,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,was
96,COH_RISI_04_Part14,School: Harmony HillIncident Description,Date of Incident: 1/19/16,Time restraint began: III 9:22;i #12 2Time restraint ended: 9:22;10:13 #2,Time restraint began: III 9:22;i #12 2Time restraint ended: 9:22;10:13 #2,Time seclusion began: 9:22,Time seclusion ended: 9:48,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,was threatening staff and punched Miss
97,COH_RISI_04_Part15,School: Harmony HillIncident Description,Date of Incident: 1/6/15,Time restraint began: 10:32,Time restraint ended: 10:32,Time seclusion began: 10:32,Time seclusion ended: 10:50,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,bookshelf. was threatening staff and throwing books off of the
98,COH_RISI_04_Part16,School: Harmany HillIncident Description,Date of Incident: 5/9/16,Time restraint began: 12:40,Time restraint ended: 12:50,Time seclusion began: 12:50,Time seclusion ended: 1:05,chair and attempted,CPI Physical Restraint and/or Seclusion Incident Report,stood up From the table to throw away
99,COH_RISI_04_Part17,School: Harmony HillIncident Description,Date of Incident: 5/16/16,10:30,Time restraint ended: 10:35,Time seclusion began: 10:35,Time seclusion ended: 10:45,began punching / kicking/ biting.,,
100,COH_RISI_04_Part18,School: Harmony HillIncident Description,Date of Incident: 5/17/16,11:26,11:30,11:30,Transport utilized?,Children's control position,,
101,COH_RISI_04_Part19,School: Harmony HillIncident Description,Date of Incident: 5/25/16,Time restraint began: 9:10,Time restraint ended: 9:20,Time seclusion began: 9:20,Time seclusion ended: 9:35,,,
102,COH_RISI_04_Part2,School:HH,Time restraint began:,1:49,Time restraint ended: 1:50,Time seclusion began: 1:50,Time seclusion ended: 2:00,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,began threatening the teacher and
103,COH_RISI_04_Part20,School: Harmony HillIncident Description,Date of Incident: 6/2/16,Time restraint began: 2:00,Time restraint ended: 2:05,Time seclusion began: 2:10,Time seclusion ended: 2:15,kicking punching,,
104,COH_RISI_04_Part21,School: Harmony HillIncident Description,Date of Incident: 6/21,Time restraint began: 9:15,Time restraint ended: 9.30,Time seclusion ended:,Transport utilized?,knile in my kitchen. I will stab you in the chest.,,
105,COH_RISI_04_Part22,School: Harmony HillIncident Description,Date of Incident: 1/7/16,Time restraint began: 12:45,Time restraint ended: 12:50,Time seclusion began: 12:50,Time seclusion ended: 1:00,arms/legs.,CPI Physical Restraint and/or Seclusion Incident Reportu,the room. the then started to throw classroom materials
106,COH_RISI_04_Part23,School: Harmony HillIncident Description,Date of Incident: 1/14/14,Time restraint began: 10:00,Time restraint ended: 10:05,Time seclusion began: 10:05,Time seclusion ended: 10:20,,CPI Physical Restraint and/or Seclusion Incident Report,demanded that should have another snack.
107,COH_RISI_04_Part3,School: Harmony HillIncident Description,Date of Incident: 3/9/16,Time restraint began: H:14,Seclusion utilized?,Time seclusion began: 11:14,Location of Incident:,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,Punched teacher in the arm.
108,COH_RISI_04_Part4,School:Hr,Date of Incident: 3/7/16,10:24,Time restraint ended: 10:25,10:25,Time seclusion ended: 10:35,,CPI Physical Restraint and/or Seclusion Incident Report,iet
109,COH_RISI_04_Part5,School: Harmony HillIncident Description transport,Date of Incident: 3/4,Time restraint ended:,Seclusion utilized?,Time seclusion began: 9:30,Time seclusion ended: 9:47,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,"Theatening, Punching . laying on back kicking"
110,COH_RISI_04_Part6,School: Harmany HillIncident Description Transport,Date of Incident: 3/3/16,NA,Seclusion utilized?,Time seclusion began: 9:15,Time seclusion ended: 9:28,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,
111,COH_RISI_04_Part7,School: HHIncident Description,311,Time restraint began: 12:18,Time restraint ended: 12:19,Time seclusion began: 12:19,Time seclusion ended: 12:30,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,began screaming at teacher and punched
112,COH_RISI_04_Part8,"School: H.H,Incident Description",Date of Incident: 2/26/16,Time restraint ended:,Seclusion utilized?,Time seclusion ended:,Location of Incident:,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,punched staff when was asked to get off of the
113,COH_RISI_04_Part9,School: HHIncident Description,Date of Incident: 2/25/16,Time restraint began: 9:02,Time restraint ended: 9:03,Time seclusion began: 9:03,Time seclusion ended: 9:25,Children's control position,CPI Physical Restraint and/or Seclusion Incident Report,punched the teacher when the teacher was trying to
114,COH_RISI_05_Part1,School: Harmony HillIncident Description,Date of Incident: 10/27/16,Time restraint began: 11:24,Time restraint ended: 11:29,Time seclusion ended:,Transport utilized? no,Children's control position,,
115,COH_RISI_05_Part10,School: Harmony HillIncident Description,Date of Incident: 5/15/17,Time restraint ended:,Seclusion utilized? Yes,Time seclusion began: 12:30,Time seclusion ended: 12:38,Children's control position,,
