,0,1,2,3,4,5,6
116,2017-2018,1/8/18 9:30 AM hitting staff,Intervention: Time Out (minutes),,,,
117,2017-2018,1/8/18 12:35 PM hit staff in mouth,Intervention: Time Out (minutes),,,,
118,2017-2018,1/10/18 12:10 PM extremely aggressive when not getting IPAD,Intervention: Time Out (minutes),,,,
119,,"wanted an ipad in P3. when denied he punched, scratched and",,,,,
120,2017-2018,pinched staff1/18/18 2:15 PM,Intervention: Time Out (minutes),,,,
121,2017-2018,"1/23/18 9:52 AM trying to break into nurses office, punching, screaming and kicking",Intervention: Time Out (minutes),,,,
122,2017-2018,1/23/18 2:00 PM aggressed towards staff,Intervention: Time Out (minutes),,,,
123,,"student swinging at staff, headed butting staff and attempting to",,,,,
124,2017-2018,enter closed spaces 1/23/18 2:15 PM,Intervention: Time Out (minutes),,,,
125,2017-2018,"2/8/18 11:10 AM property destruction, hitting and head butting staff",Intervention: Time Out (minutes),,,,
126,2017-2018,3/6/18 1:30 PM physical aggression,Intervention: Time Out (minutes),,,,
127,2017-2018,3/23/18 1:45 PM hitting and head butting,Intervention: Time Out (minutes),,,,
128,2017-2018,4/10/18 1:15 PM aggression: hitting and kicking,Intervention: Time Out (minutes),,,,
129,2017-2018,4/20/18 10:15 AM began punching and kicking,Intervention: Time Out (minutes),,,,
130,2017-2018,4/20/18 10:15 AM punching and kicking,Intervention: Time Out (minutes),,,,
131,2017-2018,4/20/18 10:25 AM punching and kicking,Intervention: Time Out (minutes),,,,
132,2017-2018,4/20/18 10:25 AM punching and slapping,Intervention: Time Out (minutes),,,,
133,,"kicking, hitting, punching, screaming. getting naked and spitting and",,,,,
134,2017-2018,head hold 5/14/18 1:15 PM,Intervention: Time Out (minutes),,,,
135,,aggression:,,,,,
136,2017-2018,2/12/18 1:16 PM student ran from staff,,Intervention: Time Out (minutes),,,
137,2017-2018,2/14/18 12:59 PM running from staff,,Intervention: Time Out (minutes),,,
138,,,"student was non compliant, verbally aggressive, threatening and",,,,
139,2017-2018,2/26/18 12:50 PM,unsafe to self,Intervention: Time Out (minutes),,,
140,,,elopement out a window,,,,
141,,,a(cid:425)empted throwing bricks,,,,
142,,,hi(cid:427)ng,,,,
143,,,grabbing,,,,
144,,,threatening,,,,
145,2017-2018,2/26/18 1:10 PM,kicking,Intervention: Time Out (minutes),,,
146,,,"evading the classroom and work, became aggressive before going to",,,,
147,2017-2018,3/21/18 12:40 PM,calming room,Intervention: Time Out (minutes),,,
148,,,unsafe: running from staff and running out of the building and into the,,,,
149,2017-2018,5/16/18 1:15 PM,parking lot.,Intervention: Time Out (minutes),,,
150,,,Student was physically aggressive by hitting and running away from,,,,
151,2017-2018,6/14/18 2:33 PM,staff.,Intervention: Time Out (minutes),,,
152,2017-2018,,1/23/18 2:10 PM student began grabbing and biting staff,Intervention: Time Out (minutes),,,
153,2017-2018,"5/18/18 10:30 AM yelling, kicking, biting and spitting.",Intervention: Time Out (minutes),,,,
154,2017-2018,"5/29/18 12:14 PM squinting, holding head and crying",Intervention: Time Out (minutes),,,,
155,2017-2018,6/1/18 11:10 AM squinting and hitting,Intervention: Time Out (minutes),,,,
156,2017-2018,6/6/18 2:30 PM hitting and running from staff,Intervention: Time Out (minutes),,,,
157,2017-2018,"6/11/18 11:27 AM spitting, kicking and hitting",Intervention: Time Out (minutes),,,,
158,2017-2018,"6/11/18 11:56 AM kicking, slapping and spitting",Intervention: Time Out (minutes),,,,
159,2017-2018,"6/13/18 1:51 PM spitting, hitting and elopement",Intervention: Time Out (minutes),,,,
160,2017-2018,"6/18/18 9:27 AM hitting, trying to bite and kicking",Intervention: Time Out (minutes),,,,
161,2017-2018,"6/19/18 12:11 PM kicking, hitting, spitting and climbing on furniture",Intervention: Time Out (minutes),,,,
162,2017-2018,6/21/18 11:09 AM standing on desk and throwing chairs,Intervention: Time Out (minutes),,,,
163,2017-2018,"6/21/18 12:15 PM kicking, spitting and hitting",Intervention: Time Out (minutes),,,,
164,2017-2018,10/30/17 2:05 PM aggressive towards staff,Intervention: Time Out (minutes),,,,
165,2017-2018,5/21/18 10:30 AM physically aggressive,Intervention: Time Out (minutes),,,,
166,2017-2018,7/13/17 11:54 AM biting and hitting,Intervention: Time Out (minutes),,,,
167,2017-2018,7/14/17 1:27 PM physically aggressive: hitting and punching staff,Intervention: Time Out (minutes),,,,
168,2017-2018,"1/2/18 2:40 PM slapping, punching, biting, pinching, and throwing objects",Intervention: Time Out (minutes),,,,
169,2017-2018,"1/3/18 1:40 PM slapping, punching, biting, pinching",Intervention: Time Out (minutes),,,,
170,2017-2018,"2/27/18 12:02 PM hitting, kicking and verbal aggression",Intervention: Time Out (minutes),,,,
171,2017-2018,"4/19/18 11:05 AM punching, hitting, biting and property destruction",Intervention: Time Out (minutes),,,,
172,2017-2018,5/14/18 2:50 PM physically aggressive,Intervention: Time Out (minutes),,,,
173,2017-2018,"5/16/18 3:00 PM pinching, hitting and throwing things",Intervention: Time Out (minutes),,,,
174,,"hitting, shooting items/objects, hitting computer, kicking, taking",,,,,
175,2017-2018,pieces off smart board and taking peers things. 5/17/18 10:50 AM,Intervention: Time Out (minutes),,,,
176,2017-2018,"5/29/18 11:27 AM throwing object, trashing room, hitting, pinching and punching..",Intervention: Time Out (minutes),,,,
177,2017-2018,"5/31/18 12:30 PM hitting, kicking, biting, yelling, head banging and pulling hair",Intervention: Time Out (minutes),,,,
178,,throwing things,,,,,
179,,hi(cid:427)ng and trying to bite,,,,,
180,2017-2018,wiping vomit on staff 6/5/18 11:23 AM,Intervention: Time Out (minutes),,,,
181,2017-2018,6/21/18 12:00 AM elopement,Intervention: Time Out (minutes),,,,
182,,"biting, hitting, kicking, scratching, grabbing and destroying other",,,,,
183,2017-2018,students belongings. 6/21/18 1:16 PM,Intervention: Time Out (minutes),,,,
184,,"screaming down the hall, trash talking aggressing towards other",,,,,
185,2017-2018,students. 1/16/18 2:10 PM,Intervention: Time Out (minutes),,,,
186,2017-2018,11/28/17 9:45 AM aggressive towards other student,Intervention: Time Out (minutes),,,,
187,,"aggression: pushing staff, throwing chairs at people, seeking out",,,,,
188,2017-2018,student to fight and verbal aggression 6/13/18 2:00 PM,Intervention: Time Out (minutes),,,,
189,2017-2018,11/8/17 10:52 AM aggressive towards staff: hitting and kicking,Intervention: Time Out (minutes),,,,
190,,while running around the room student ran into others and was,,,,,
191,2017-2018,throwing objects. 1/17/18 11:19 AM,Intervention: Time Out (minutes),,,,
192,,"unsafe: left the building and went to the playground, kicking and",,,,,
193,2017-2018,attempting to bite 5/16/18 10:31 AM,Intervention: Time Out (minutes),,,,
194,2017-2018,"6/13/18 9:43 AM hitting, biting and kicking",Intervention: Time Out (minutes),,,,
195,2017-2018,6/21/18 12:00 AM hitting staff,Intervention: Time Out (minutes),,,,
196,2017-2018,3/9/18 1:30 PM grabbing neck and pulling hair. throwing things in reach,Intervention: Time Out (minutes),,,,
197,2017-2018,2/8/18 1:23 PM physical and verbal aggression,Intervention: Time Out (minutes),,,,
198,,verbal aggression,,,,,
199,,physical aggression,,,,,
200,2017-2018,property destruction 2/8/18 1:32 PM,Intervention: Time Out (minutes),,,,
201,2017-2018,"5/25/18 3:19 PM yelling, running, attempting to get to staff",Intervention: Time Out (minutes),,,,
202,2017-2018,7/24/17 10:05 AM aggressive towards staff: hitting and biting,Intervention: Time Out (minutes),,,,
203,2017-2018,"8/1/17 10:45 AM physically aggressive hitting, kicking and biting",Intervention: Time Out (minutes),,,,
204,2017-2018,8/1/17 10:52 AM physically aggressive,Intervention: Time Out (minutes),,,,
205,2017-2018,8/8/17 9:20 AM physically aggressive,Intervention: Time Out (minutes),,,,
206,2017-2018,8/8/17 12:23 PM biting and hitting,Intervention: Time Out (minutes),,,,
207,2017-2018,"10/12/17 1:30 PM unsafe, hitting and biting staff.",Intervention: Time Out (minutes),,,,
208,2017-2018,"10/18/17 1:05 PM biting, scratching and hitting",Intervention: Time Out (minutes),,,,
209,2017-2018,10/19/17 11:32 AM aggressive towards staff,Intervention: Time Out (minutes),,,,
210,2017-2018,"10/19/17 11:32 AM biting, scratching and hitting",Intervention: Time Out (minutes),,,,
211,2017-2018,10/19/17 1:26 PM became aggressive towards staff while not following the directions,Intervention: Time Out (minutes),,,,
212,2017-2018,"10/19/17 1:26 PM biting, scratching and hiting",Intervention: Time Out (minutes),,,,
213,2017-2018,"10/19/17 2:27 PM hitting, biting and scratching",Intervention: Time Out (minutes),,,,
214,2017-2018,10/20/17 12:00 AM hitting and biting,Intervention: Time Out (minutes),,,,
215,2017-2018,"10/26/17 11:02 AM hitting, biting and scratching",Intervention: Time Out (minutes),,,,
216,2017-2018,10/26/17 1:20 PM aggressive towards staff,Intervention: Time Out (minutes),,,,
217,,student being unsafe in classroom and escorted to  where he,,,,,
218,2017-2018,stayed calm. 10/27/17 2:08 PM,Intervention: Time Out (minutes),,,,
219,2017-2018,"10/30/17 1:01 PM student began kicking, biting and hitting.",Intervention: Time Out (minutes),,,,
220,2017-2018,10/30/17 1:17 PM hitting and trying to bite,Intervention: Time Out (minutes),,,,
221,2017-2018,10/30/17 2:46 PM hitting and trying to bite,Intervention: Time Out (minutes),,,,
222,2017-2018,11/13/17 2:05 PM aggressive towards staff,Intervention: Time Out (minutes),,,,
223,2017-2018,11/14/17 12:00 AM aggressive towards staff,Intervention: Time Out (minutes),,,,
224,,"student attempted bolting and was punching, head butting and biting",,,,,
225,2017-2018,staff 1/4/18 1:20 PM,Intervention: Time Out (minutes),,,,
226,2017-2018,1/4/18 1:25 PM became aggressive when prompt to read during speech.,Intervention: Time Out (minutes),,,,
227,2017-2018,"1/16/18 9:30 AM student was punching, slapping and biting",Intervention: Time Out (minutes),,,,
228,2017-2018,"1/16/18 11:00 AM student running away, throwing shoe and hitting staff in face",Intervention: Time Out (minutes),,,,
229,2017-2018,"1/16/18 11:03 AM aggression: throwing shoes, hitting, kicking, biting",Intervention: Time Out (minutes),,,,
230,2017-2018,"1/16/18 2:25 PM student was punching, pinching, and attempting to bite.",Intervention: Time Out (minutes),,,,
231,,student tried going under workers door in cafeteria. when blocked,,,,,
232,2017-2018,student bit staff 1/24/18 11:05 AM,Intervention: Time Out (minutes),,,,
233,2017-2018,"1/24/18 11:10 AM student was biting, pushing, punching, slapping",Intervention: Time Out (minutes),,,,
234,2017-2018,1/30/18 11:00 AM unsafe and physically aggressive,Intervention: Time Out (minutes),,,,
235,2017-2018,2/13/18 9:12 AM running from staff and being physically aggressive,Intervention: Time Out (minutes),,,,
236,2017-2018,"2/13/18 11:31 AM physically aggressive, hitting, trying to bite and pinch",Intervention: Time Out (minutes),,,,
237,2017-2018,"2/13/18 11:31 AM running, grabbing staff and trying to bite.",Intervention: Time Out (minutes),,,,
238,2017-2018,"3/8/18 11:25 AM hitting, biting, kicking and pinching",Intervention: Time Out (minutes),,,,
239,2017-2018,"3/8/18 11:25 AM hitting, kicking, pinching and biting.",Intervention: Time Out (minutes),,,,
240,2017-2018,"3/8/18 1:05 PM climbing on furniture, jumping from table to table",Intervention: Time Out (minutes),,,,
241,2017-2018,"3/8/18 1:07 PM hitting, kicking and biting",Intervention: Time Out (minutes),,,,
242,2017-2018,"3/15/18 2:24 PM yelling, hitting, biting, throwing and grabbing.",Intervention: Time Out (minutes),,,,
243,2017-2018,"3/19/18 3:40 PM hitting, pinching, biting, kicking and throwing things",Intervention: Time Out (minutes),,,,
244,2017-2018,"3/21/18 9:39 AM slapping, punching, pinching and biting. student was trying to elope",Intervention: Time Out (minutes),,,,
245,2017-2018,"3/22/18 11:27 AM Aggression: Hitting, Kicking, Scratching and biting",Intervention: Time Out (minutes),,,,
246,2017-2018,"3/26/18 9:49 AM aggression: hitting, kicking, biting, scratching and grabbing clothing",Intervention: Time Out (minutes),,,,
247,2017-2018,"3/27/18 3:00 PM hitting, biting and grabbing",Intervention: Time Out (minutes),,,,
248,,became unsafe when it was not lunch time. became aggressive hitting,,,,,
249,2017-2018,staff. 4/9/18 10:30 AM,Intervention: Time Out (minutes),,,,
250,,"hitting, kicking, biting, screaming, jumping, self forced vomiting and",,,,,
251,2017-2018,disrobed 4/9/18 1:25 PM,Intervention: Time Out (minutes),,,,
252,2017-2018,4/10/18 10:44 AM running away and hitting staff,Intervention: Time Out (minutes),,,,
253,2017-2018,4/10/18 11:22 AM hitting and running,Intervention: Time Out (minutes),,,,
254,2017-2018,"4/12/18 9:48 AM bolting, biting and hitting",Intervention: Time Out (minutes),,,,
255,2017-2018,"4/16/18 9:30 AM hitting, kicking, pinching, biting and trashed room",Intervention: Time Out (minutes),,,,
256,2017-2018,"4/24/18 2:17 PM hitting, punching and pulling hair",Intervention: Time Out (minutes),,,,
257,2017-2018,"5/2/18 9:58 AM student was kicking, biting, pinching, punching and screaming",Intervention: Time Out (minutes),,,,
258,2017-2018,5/2/18 1:34 PM physically aggressive,Intervention: Time Out (minutes),,,,
259,2017-2018,5/7/18 1:10 PM physically aggressive,Intervention: Time Out (minutes),,,,
260,2017-2018,"5/7/18 3:10 PM hitting, kicking, pitching and leaving campus",Intervention: Time Out (minutes),,,,
261,2017-2018,5/8/18 2:43 PM physically aggressive,Intervention: Time Out (minutes),,,,
262,2017-2018,"5/11/18 10:36 AM yelling, hitting, biting, pinching, rocking and throwing",Intervention: Time Out (minutes),,,,
263,2017-2018,5/11/18 11:57 AM physically aggressive,Intervention: Time Out (minutes),,,,
264,2017-2018,5/11/18 12:10 PM punched staff in face,Intervention: Time Out (minutes),,,,
265,2017-2018,"5/15/18 12:20 PM hitting, scratching, biting, kicking, head butting and bolting",Intervention: Time Out (minutes),,,,
266,2017-2018,"5/16/18 12:47 PM pinching, hitting, kicking and yelling",Intervention: Time Out (minutes),,,,
267,2017-2018,"5/17/18 11:50 AM kicking, hitting, attempting to bite and climb out window.",Intervention: Time Out (minutes),,,,
268,2017-2018,"5/17/18 1:02 PM kicking, screaming, attempting to bite and run into parking lot",Intervention: Time Out (minutes),,,,
269,2017-2018,"5/17/18 2:10 PM hitting, pinching, kicking and biting",Intervention: Time Out (minutes),,,,
270,2017-2018,"5/18/18 10:00 AM running into parking lot. kitting, kicking, pinching and biting",Intervention: Time Out (minutes),,,,
271,2017-2018,"5/18/18 10:45 AM screaming, pinching, hitting and running",Intervention: Time Out (minutes),,,,
272,2017-2018,5/18/18 12:45 PM unsafe and physically aggressive,Intervention: Time Out (minutes),,,,
273,2017-2018,"5/21/18 10:07 AM yelling, hitting, biting and pinching",Intervention: Time Out (minutes),,,,
274,2017-2018,5/21/18 12:26 PM naked on playground being unsafe,Intervention: Time Out (minutes),,,,
275,2017-2018,"5/29/18 9:56 AM screaming, kicking and pinching",Intervention: Time Out (minutes),,,,
276,2017-2018,"5/29/18 10:10 AM elopement, endangering the environment and physical aggression",Intervention: Time Out (minutes),,,,
277,2017-2018,"6/1/18 11:40 AM attempting to hit, kick and punch",Intervention: Time Out (minutes),,,,
278,2017-2018,6/1/18 3:00 PM student aggressive by hitting and punching,Intervention: Time Out (minutes),,,,
279,2017-2018,6/6/18 9:40 AM running and hitting.,Intervention: Time Out (minutes),,,,
280,2017-2018,6/7/18 9:47 AM running to back of building and into parking lot,Intervention: Time Out (minutes),,,,
281,2017-2018,"6/7/18 10:00 AM hitting, biting, scratching, pinching and head butting",Intervention: Time Out (minutes),,,,
282,2017-2018,"6/8/18 11:30 AM aggression: hitting, kicking, biting and scratching",Intervention: Time Out (minutes),,,,
283,,"aggression: hitting, kicking, biting, pinching. Unsafe: throwing objects",,,,,
284,2017-2018,in the room 6/11/18 2:15 PM,Intervention: Time Out (minutes),,,,
285,2017-2018,"6/15/18 9:53 AM Student was hitting, kicking, pushing, scratching and pinching.",Intervention: Time Out (minutes),,,,
286,2017-2018,6/15/18 2:15 PM Staff reported student became aggressive and ran from staff.,Intervention: Time Out (minutes),,,,
287,2017-2018,"6/19/18 11:25 AM screaming, kicking, hitting, biting and throwing.",Intervention: Time Out (minutes),,,,
288,2017-2018,"6/20/18 11:42 AM hitting, pinching and biting",Intervention: Time Out (minutes),,,,
289,2017-2018,"2/12/18 11:30 AM Hitting, verbal and physical aggression",Intervention: Time Out (minutes),,,,
290,,walked away from staff in hallway and to into unlocked rooms. went,,,,,
291,,"to © where she screamed, hit, kicked and attempted to bite staff",,,,,
292,2017-2018,and students. 2/12/18 11:30 AM,Intervention: Time Out (minutes),,,,
293,2017-2018,"2/13/18 10:45 AM aggression, hitting, kicking, biting and throwing chairs",Intervention: Time Out (minutes),,,,
294,,came back from calming room and went to her desk and grabbed a,,,,,
295,2017-2018,chair and tried to throw it at staff. 2/13/18 11:15 AM,Intervention: Time Out (minutes),,,,
296,,student went to bathroom where she then ran from staff. then,,,,,
297,2017-2018,proceeded to run throughout the school.2/16/18 11:45 AM,Intervention: Time Out (minutes),,,,
